RNA1 name,RNA2 name,RNA1 chromosome,Start of RNA1 first read,Start of RNA1 last read,RNA1 strand,RNA2 chromosome,Start of RNA2 last read,Start of RNA2 first read,RNA2 strand,Number of interactions,Other interactions of RNA1,Other interactions of RNA2,Total other interactions,Odds ratio,Fishers exact test p-value,RNA1 type,RNA2 type
SL1344_2713#gene2763,InvR,NC_016810,2892575,2892917,-,NC_016810,3067534,3067588,+,874,2371,397029,23219187,21.5578109,0,CDS,sRNA
sptP#gene2910,InvR,NC_016810,3045728,3046163,-,NC_016810,3067534,3067589,+,873,7289,397030,23214269,7.002900929,0,CDS,sRNA
ais#gene2304.5UTR,ChiX,NC_016810,2401459,2401494,-,NC_016810,555565,555574,+,869,112,14717871,8900609,4.692199672,5.65E-70,5UTR,sRNA
RUF_167,STnc2040,NC_016810,1014899,1015021,-,NC_016810,1819355,1819383,-,867,811,35071,23582712,718.8592099,0,sRNA,sRNA
ArcZ,kup#gene3907.5UTR,NC_016810,3511861,3511864,+,NC_016810,4110638,4110994,+,829,120897,681,23497054,236.5948622,0,sRNA,5UTR
GcvB,rmf#gene1022,NC_016810,3156816,3156929,+,NC_016810,1114044,1114176,+,811,664175,3755,22950720,7.463193521,0,sRNA,CDS
tRNA-Leu#rna80,DapZ,NC_016810,4162680,4162681,+,NC_016810,74870,74893,+,804,20958,119492,23478207,7.537586514,0,tRNA,sRNA
ArcZ,tar#gene1876.RUF_125.IGR,NC_016810,3511860,3511864,+,NC_016810,1972181,1972347,-,795,120931,2411,23495324,64.06394999,0,sRNA,IGR
SL1344_3112#gene3169,CyaR,NC_016810,3321410,3321668,-,NC_016810,2228893,2228932,+,769,6777,95447,23516468,27.9575214,0,CDS,sRNA
SL1344_0649#gene655,MgrR,NC_016810,723877,723898,-,NC_016810,1550830,1550844,+,758,168,42248,23576287,2517.846089,0,CDS,sRNA
aspA#gene4347,ArcZ,NC_016810,4592707,4592993,-,NC_016810,3511891,3511919,+,751,16048,55557,23547105,19.83434008,0,CDS,sRNA
SL1344_1221#gene1240.5UTR,STnc470,NC_016810,1320987,1321020,+,NC_016810,94650,94693,-,744,3099,360,23615258,15748.58552,0,5UTR,sRNA
SL1344_3569#gene3630.5UTR,FnrS,NC_016810,3800175,3800208,-,NC_016810,1706784,1706851,-,696,3521,200292,23414952,23.10855999,0,5UTR,sRNA
ArcZ,prgH#gene2906,NC_016810,3511861,3511863,+,NC_016810,3039451,3039683,-,690,121036,16375,23481360,8.174787389,0,sRNA,CDS
ompD#gene1523,ArcZ,NC_016810,1612234,1612634,+,NC_016810,3511883,3511918,+,679,14653,55629,23548500,19.61576365,0,CDS,sRNA
SL1344_2445#gene2491.acrD#gene2490.IGR,STnc870,NC_016810,2594633,2594696,-,NC_016810,4292541,4292599,+,641,140776,18439,23459605,5.793122867,9.69E-251,IGR,sRNA
ribB#gene3225,MgrR,NC_016810,3378782,3379199,-,NC_016810,1550812,1550844,+,551,1338,42455,23575117,228.6759526,0,CDS,sRNA
FnrS,SL1344_1968#gene1996,NC_016810,1706829,1706904,-,NC_016810,2073566,2073573,+,535,211072,18146,23389708,3.267134775,1.05E-107,sRNA,CDS
StyR-88,FnrS,NC_016810,2681098,2681240,-,NC_016810,1706784,1706872,-,533,4219,200455,23414254,14.75642366,0,sRNA,sRNA
SL1344_1446#gene1467.MgrR.IGR,MgrR,NC_016810,1550969,1551007,-,NC_016810,1550836,1550843,+,523,1283,42483,23575172,226.2115236,0,IGR,sRNA
ArcZ,pps#gene1304,NC_016810,3511861,3511863,+,NC_016810,1385133,1385578,+,521,121205,630,23497105,160.321215,0,sRNA,CDS
GcvB,SroC,NC_016810,3156901,3157019,+,NC_016810,728172,728197,-,521,24711,314753,23279476,1.559375566,2.28E-14,sRNA,sRNA
ArcZ,SL1344_1685#gene1706.5UTR,NC_016810,3511862,3511863,+,NC_016810,1807454,1807832,-,517,121209,2223,23495512,45.08178729,0,sRNA,5UTR
lppA#gene1331.5UTR,RyfD,NC_016810,1416469,1416505,-,NC_016810,2805083,2805195,-,493,12055,10976,23595937,87.91699473,0,5UTR,sRNA
STnc870,alaS#gene2859,NC_016810,4292541,4292555,+,NC_016810,2993978,2994136,-,463,16743,9955,23592300,65.53551725,0.00E+00,sRNA,CDS
tRNA-Met#rna56,CyaR,NC_016810,3162526,3162625,+,NC_016810,2228869,2228933,+,461,26601,95755,23496644,4.252529534,5.06E-131,tRNA,sRNA
ArcZ,glpT#gene2291,NC_016810,3511862,3511864,+,NC_016810,2387203,2387353,-,441,121285,25650,23472085,3.327329395,6.73E-91,sRNA,CDS
SL1344_4339#gene4426.5UTR,InvR,NC_016810,4663886,4663900,+,NC_016810,3067527,3067586,+,437,14949,397466,23206609,1.706793562,9.62E-18,5UTR,sRNA
ArcZ,sucD#gene733,NC_016810,3511861,3511864,+,NC_016810,806451,806719,+,436,121290,1234,23496501,68.44622921,0.00E+00,sRNA,CDS
atpI#gene3899,CyaR,NC_016810,4101343,4101581,-,NC_016810,2228888,2228932,+,418,5292,95798,23517953,19.39096945,0.00E+00,CDS,sRNA
ArcZ,invC#gene2925,NC_016810,3511811,3511864,+,NC_016810,3059412,3059882,-,409,121317,2856,23494879,27.73426465,0,sRNA,CDS
phoQ#gene1186,ChiX,NC_016810,1274224,1274264,-,NC_016810,555565,555574,+,408,39,14718332,8900682,6.326452418,5.70E-38,CDS,sRNA
hupB#gene452,MgrR,NC_016810,507552,507690,+,NC_016810,1550766,1550843,+,406,32296,43098,23543661,6.86742897,2.46E-183,CDS,sRNA
SL1344_1663#gene1684,CyaR,NC_016810,1784937,1784997,-,NC_016810,2228903,2228932,+,405,12464,79627,23526965,9.600705226,2.59E-233,CDS,sRNA
STnc870,SL1344_1710#gene1733,NC_016810,4292513,4292559,+,NC_016810,1837507,1837621,-,405,16801,14372,23587883,39.56322153,0,sRNA,CDS
ArcZ,murC#gene130,NC_016810,3511862,3511863,+,NC_016810,151974,152029,+,399,121327,31,23497704,2492.752563,0.00E+00,sRNA,CDS
SL1344_2564#gene2609.AS,ChiX,NC_016810,2747236,2747341,+,NC_016810,555564,555574,+,399,43,14718341,8900678,5.611366943,4.61E-34,AS,sRNA
gmhA#gene312.SL1344_0307#gene313.IGR,CyaR,NC_016810,355470,355722,+,NC_016810,2228888,2228932,+,395,5126,95821,23518119,18.91299808,0.00E+00,IGR,sRNA
siiE#gene4281,InvR,NC_016810,4504213,4504370,+,NC_016810,3067526,3067587,+,394,3953,397509,23217605,5.82156646,1.15E-149,CDS,sRNA
ompC#gene2276.5UTR,InvR,NC_016810,2364105,2364200,-,NC_016810,3067529,3067587,+,393,999,397510,23220559,22.9800873,0.00E+00,5UTR,sRNA
tRNA-Leu#rna80,CyaR,NC_016810,4162599,4162692,+,NC_016810,2228866,2228931,+,386,24035,95830,23499210,3.93817447,2.29E-99,tRNA,sRNA
rmf#gene1022,InvR,NC_016810,1113937,1114121,+,NC_016810,3067534,3067587,+,380,5425,397523,23216133,4.090830412,3.86E-100,CDS,sRNA
hns#gene1703,InvR,NC_016810,1804452,1804482,+,NC_016810,3067531,3067588,+,379,2244,397524,23219314,9.86512036,6.78E-214,CDS,sRNA
smg#gene3432,MgrR,NC_016810,3596790,3597121,-,NC_016810,1550839,1550844,+,370,1952,42636,23574503,104.8064481,0.00E+00,CDS,sRNA
lppA#gene1331,CyaR,NC_016810,1416340,1416491,-,NC_016810,2228888,2228932,+,367,11373,95849,23511872,7.915724082,5.78E-184,CDS,sRNA
osmY#gene4583.3UTR,CyaR,NC_016810,4837130,4837358,+,NC_016810,2228870,2228932,+,365,6577,95851,23516668,13.61583132,9.44E-259,3UTR,sRNA
STnc840.ams#gene1140.IGR,ChiX,NC_016810,1224301,1224366,+,NC_016810,555565,555574,+,355,43,14718385,8900678,4.992554661,4.46E-27,IGR,sRNA
STnc870,SL1344_4249#gene4332,NC_016810,4292541,4292545,+,NC_016810,4581113,4581132,-,350,16856,348,23601907,1408.255229,0,sRNA,CDS
nrfA#gene4297.5UTR,STnc870,NC_016810,4537306,4537380,+,NC_016810,4292565,4292599,+,350,13040,18730,23587341,33.80116439,0,5UTR,sRNA
ArcZ,hilC#gene2899,NC_016810,3511862,3511863,+,NC_016810,3035103,3035169,-,340,121386,4167,23493568,15.79195126,1.73E-259,sRNA,CDS
SL1344_1710#gene1733,CyaR,NC_016810,1837392,1837699,-,NC_016810,2228881,2228932,+,339,6775,95877,23516470,12.27292538,2.70E-226,CDS,sRNA
SL1344_1615#gene1636,ArcZ,NC_016810,1736800,1736866,-,NC_016810,3511883,3511918,+,328,226,55980,23562927,610.8882167,0.00E+00,CDS,sRNA
ybfM#gene682,MgrR,NC_016810,748905,748969,+,NC_016810,1550836,1550844,+,315,39862,42691,23536593,4.356710863,7.19E-91,CDS,sRNA
glpT#gene2291,STnc870,NC_016810,2387211,2387419,-,NC_016810,4292566,4292599,+,314,37229,18766,23563152,10.59034114,1.49E-192,CDS,sRNA
nlpD#gene2957,MgrR,NC_016810,3089122,3089296,-,NC_016810,1550781,1550844,+,312,14000,43192,23561957,12.15722916,4.56E-208,CDS,sRNA
SL1344_2283#gene2322,STnc2000,NC_016810,2418379,2418430,+,NC_016810,1204287,1204314,-,312,5455,1072,23612622,1259.822233,0.00E+00,CDS,sRNA
siiE#gene4281,STnc440,NC_016810,4520020,4520497,+,NC_016810,4580515,4580565,+,312,5321,40260,23573568,34.33308946,0,CDS,sRNA
ArcZ,SL1344_2698#gene2749,NC_016810,3511861,3511954,+,NC_016810,2879725,2880110,-,311,123436,924,23494790,64.06460394,0.00E+00,sRNA,CDS
SL1344_3126#gene3183,CyaR,NC_016810,3336610,3336666,-,NC_016810,2228881,2228932,+,311,702,95905,23522543,108.6591487,0,CDS,sRNA
SL1344_3283#gene3339,InvR,NC_016810,3499077,3499112,-,NC_016810,3067508,3067587,+,311,904,397592,23220654,20.09225903,1.02E-253,CDS,sRNA
tsx#gene413.5UTR,RybB,NC_016810,467920,467960,-,NC_016810,941812,941839,-,309,1006,50360,23567786,143.7452701,0,5UTR,sRNA
aspA#gene4347,SL1344_1968#gene1996,NC_016810,4592761,4592898,-,NC_016810,2073499,2073576,+,307,2746,19649,23596759,134.2609596,0,CDS,CDS
ArcZ,SL1344_1457#gene1478.SL1344_1456#gene1477.IGR,NC_016810,3511862,3511864,+,NC_016810,1560763,1561035,-,304,121422,97,23497638,606.4970267,0.00E+00,sRNA,IGR
ArcZ,dbh#gene315,NC_016810,3511862,3511862,+,NC_016810,357658,357679,+,296,121430,98,23497637,584.4721618,0.00E+00,sRNA,CDS
oppA#gene1698.5UTR,MicF,NC_016810,1798159,1798195,-,NC_016810,2364702,2364722,+,289,3530,102123,23513519,18.85025384,1.08E-240,5UTR,sRNA
pitA#gene3615.5UTR,SLnc0022,NC_016810,3779825,3779859,+,NC_016810,2073295,2073339,+,285,10793,869,23607514,717.3534022,0.00E+00,5UTR,sRNA
clpB#gene2671,CyaR,NC_016810,2804407,2804858,-,NC_016810,2228881,2228932,+,283,6389,95933,23516856,10.85837363,8.91E-175,CDS,sRNA
ArcZ,gcvP#gene3085,NC_016810,3511862,3511863,+,NC_016810,3235032,3235193,-,282,121444,507,23497228,107.6172071,0,sRNA,CDS
ArcZ,SL1344_3483#gene3544.3UTR,NC_016810,3511862,3511863,+,NC_016810,3701106,3701471,-,279,121447,268,23497467,201.4204984,0,sRNA,3UTR
cydD#gene911,ChiX,NC_016810,989801,989961,-,NC_016810,555572,555574,+,278,48,14718462,8900673,3.50238572,2.30E-13,CDS,sRNA
aspA#gene4347,InvR,NC_016810,4592577,4592589,-,NC_016810,3067532,3067587,+,278,523,397625,23221035,31.04209316,7.08E-268,CDS,sRNA
SL1344_1446#gene1467.MgrR.IGR,CyaR,NC_016810,1550962,1551004,-,NC_016810,2228886,2228932,+,276,1530,95940,23521715,44.2269429,0.00E+00,IGR,sRNA
secE#gene4167.5UTR,CyaR,NC_016810,4383278,4383327,+,NC_016810,2228883,2228932,+,269,1186,95947,23522059,55.60470306,0,5UTR,sRNA
SL1344_1085#gene1103,MgrR,NC_016810,1189809,1190174,+,NC_016810,1550812,1550844,+,268,1682,42738,23574773,87.89053892,0.00E+00,CDS,sRNA
purR#gene1384.sodB#gene1385.IGR,ChiX,NC_016810,1465940,1465962,+,NC_016810,555570,555574,+,266,45,14718474,8900676,3.574615466,6.00E-13,IGR,sRNA
SL1344_4239#gene4322.5UTR,FnrS,NC_016810,4570117,4570187,-,NC_016810,1706784,1706880,-,263,3093,200725,23415380,9.919175449,4.45E-151,5UTR,sRNA
ArcZ,orgAa#gene2902,NC_016810,3511862,3511863,+,NC_016810,3037207,3037455,-,259,121467,1079,23496656,46.43292823,3.81E-305,sRNA,CDS
ArcZ,yidE#gene3833,NC_016810,3511862,3511863,+,NC_016810,4030257,4030330,-,257,121469,909,23496826,54.69063738,0.00E+00,sRNA,CDS
SL1344_3199#gene3256.5UTR,MgrR,NC_016810,3415694,3415788,+,NC_016810,1550829,1550844,+,257,1607,42749,23574848,88.19423304,0,5UTR,sRNA
yohG#gene2182.SL1344_2151#gene2183.IGR,CyaR,NC_016810,2268325,2268340,+,NC_016810,2228891,2228932,+,256,1392,95960,23521853,45.07980432,6.08E-301,IGR,sRNA
rho#gene3941,MgrR,NC_016810,4147086,4147285,+,NC_016810,1550810,1550844,+,254,1171,42752,23575284,119.6127067,0.00E+00,CDS,sRNA
glpF#gene4109,SdsR,NC_016810,4318025,4318121,-,NC_016810,1925621,1925674,-,251,19655,23540,23576015,12.78982535,7.71E-172,CDS,sRNA
ytfM#gene4429.5UTR,CyaR,NC_016810,4666537,4666638,+,NC_016810,2228893,2228932,+,248,743,95968,23522502,81.81255147,0.00E+00,5UTR,sRNA
traS,CyaR,NC_017720,11149,11293,-,NC_016810,2228887,2228931,+,247,8316,95969,23514929,7.277717188,1.18E-114,NC_017720#gene,sRNA
nlpD#gene2957,DsrA,NC_016810,3089170,3089229,-,NC_016810,2026216,2026260,-,247,14065,4077,23601072,101.6595622,0.00E+00,CDS,sRNA
prgH#gene2906,STnc440,NC_016810,3039636,3039671,-,NC_016810,4580528,4580564,+,247,10350,40325,23568539,13.94809476,2.55E-177,CDS,sRNA
ArcZ,stdA#gene3063,NC_016810,3511862,3511863,+,NC_016810,3213162,3213209,-,245,121481,157,23497578,301.8430452,0.00E+00,sRNA,CDS
ArcZ,ompA#gene1026,NC_016810,3511862,3511863,+,NC_016810,1117419,1117560,-,244,121482,823,23496912,57.34411416,1.37E-306,sRNA,CDS
ArcZ,orgAb#gene2901,NC_016810,3511815,3511863,+,NC_016810,3036269,3036588,-,242,121484,5441,23492294,8.600881898,5.90E-127,sRNA,CDS
SL1344_1768#gene1790,CyaR,NC_016810,1894210,1894655,-,NC_016810,2228904,2228932,+,241,30774,79791,23508655,2.307315416,2.17E-23,CDS,sRNA
SL1344_1928#gene1956.AS,SL1344_1968#gene1996,NC_016810,2040828,2041281,-,NC_016810,2073568,2073618,+,238,45,369453,23249725,332.8304608,0.00E+00,AS,CDS
sopE#gene2725,SL1344_1968#gene1996,NC_016810,2863148,2863172,+,NC_016810,2073569,2073618,+,234,630,369457,23249140,23.37320678,3.62E-203,CDS,CDS
glpT#gene2291,ArcZ,NC_016810,2387305,2387347,-,NC_016810,3511870,3511900,+,233,28326,27112,23563790,7.14914751,6.49E-107,CDS,sRNA
invA#gene2927,MicA,NC_016810,3060969,3061074,-,NC_016810,2989455,2989505,+,231,5590,5157,23608483,189.1782145,0.00E+00,CDS,sRNA
GcvB,dppA#gene3657.5UTR,NC_016810,3156802,3156942,+,NC_016810,3837326,3837376,-,228,664758,1827,22952648,4.308891153,1.30E-60,sRNA,5UTR
glpT#gene2291,STnc2000,NC_016810,2387352,2387359,-,NC_016810,1204287,1204293,-,227,28332,719,23590183,262.8760641,0.00E+00,CDS,sRNA
trmU#gene1190,ArcZ,NC_016810,1278922,1279210,-,NC_016810,3511885,3511915,+,224,259,56084,23562894,363.3606579,0,CDS,sRNA
nlpD#gene2957,RprA,NC_016810,3089122,3089199,-,NC_016810,1401685,1401730,-,223,1891,98570,23518777,28.13735772,3.88E-220,CDS,sRNA
siiA#gene4277.5UTR,Spf,NC_016810,4498912,4499051,+,NC_016810,4230534,4230612,+,220,2470,66242,23550529,31.66598182,3.82E-229,5UTR,sRNA
ArcZ,siiE#gene4281,NC_016810,3511862,3511863,+,NC_016810,4507259,4507370,+,218,121508,829,23496906,50.85196858,1.30E-263,sRNA,CDS
prgH#gene2906,InvR,NC_016810,3039409,3039496,-,NC_016810,3067555,3067587,+,213,2674,397690,23218884,4.650663013,7.91E-63,CDS,sRNA
flgK#gene1138,DapZ,NC_016810,1222576,1222675,+,NC_016810,74873,74890,+,212,1308,120084,23497857,31.71547554,6.15E-218,CDS,sRNA
SL1344_4239#gene4322.5UTR,GcvB,NC_016810,4570123,4570197,-,NC_016810,3156831,3156985,+,212,3144,683235,22932870,2.263297413,3.34E-18,5UTR,sRNA
ArcZ,SL1344_2208#gene2241,NC_016810,3511862,3511864,+,NC_016810,2331127,2331142,+,211,121515,10,23497725,4080.171152,0,sRNA,CDS
ArcZ,dcuA#gene4346.5UTR,NC_016810,3511847,3511864,+,NC_016810,4591226,4591598,-,211,121515,3609,23494126,11.30381329,5.45E-132,sRNA,5UTR
SL1344_2715#gene2765.5UTR,CyaR,NC_016810,2893759,2893986,-,NC_016810,2228911,2228932,+,211,5761,79821,23533668,10.79834101,5.84E-129,5UTR,sRNA
ArcZ,SL1344_1987#gene2017,NC_016810,3511862,3511863,+,NC_016810,2090786,2090891,-,208,121518,199,23497536,202.1119392,0.00E+00,sRNA,CDS
ArcZ,SL1344_1896#gene1922.5UTR,NC_016810,3511862,3511868,+,NC_016810,2012961,2012980,+,205,121521,334,23497401,118.6795492,7.9980786703106e-310,sRNA,5UTR
ArcZ,SL1344_2445#gene2491.acrD#gene2490.IGR,NC_016810,3511835,3511863,+,NC_016810,2594553,2594594,-,205,121521,14861,23482874,2.665666045,9.18E-27,sRNA,IGR
ompH#gene226.5UTR,STnc870,NC_016810,264847,264847,+,NC_016810,4292582,4292599,+,205,2425,18875,23597956,105.6889406,0.00E+00,5UTR,sRNA
ChiX,mreC#gene3401,NC_016810,555493,555496,+,NC_016810,3564833,3564843,-,203,7493022,21,16126215,20.80425561,1.80E-69,sRNA,CDS
SL1344_4251#gene4334,InvR,NC_016810,4582026,4582061,-,NC_016810,3067505,3067590,+,203,1038,397700,23220520,11.41865718,4.67E-123,CDS,sRNA
ybfM#gene682,ChiX,NC_016810,750262,750303,+,NC_016810,555545,555574,+,202,22,14718538,8900699,5.552494406,1.46E-14,CDS,sRNA
ArcZ,STnc740,NC_016810,3511862,3511868,+,NC_016810,2240283,2240293,-,201,121525,18855,23478880,2.059592336,2.64E-13,sRNA,sRNA
ArcZ,hilC#gene2899.RUF_219c.IGR,NC_016810,3511862,3511863,+,NC_016810,3034102,3034511,-,199,121527,3511,23494224,10.95747718,7.60E-122,sRNA,IGR
cheM#gene3246,CyaR,NC_016810,3402967,3403050,-,NC_016810,2228896,2228932,+,198,1124,96018,23522121,43.15416354,2.34E-228,CDS,sRNA
GJB7-4688,InvR,NC_017718,14853,14869,+,NC_016810,3067548,3067586,+,198,489,397705,23221069,23.64163397,4.44E-171,NC_017718#gene,sRNA
tRNA-Ala#rna2,MgrR,NC_016810,290966,290974,+,NC_016810,1550825,1550844,+,194,3882,42812,23572573,27.5161502,1.58E-191,tRNA,sRNA
ArcZ,katE#gene1273,NC_016810,3511861,3511863,+,NC_016810,1354045,1354075,-,193,121533,75,23497660,497.5382138,0.00E+00,sRNA,CDS
SL1344_2445#gene2491.acrD#gene2490.IGR,STnc500,NC_016810,2594633,2594699,-,NC_016810,1172561,1172595,-,192,141225,19076,23458968,1.671903606,1.92E-04,IGR,sRNA
RyeF,SL1344_1663#gene1684,NC_016810,1958590,1958592,-,NC_016810,1784938,1784939,-,190,3455,12571,23603245,103.2541313,1.13E-293,sRNA,CDS
lppA#gene1331,cpxP#gene4082,NC_016810,1416459,1416482,-,NC_016810,4292531,4292598,+,187,10835,18893,23589546,21.54920978,1.93E-166,CDS,CDS
ompC#gene2276.5UTR,SL1344_1968#gene1996,NC_016810,2364204,2364290,-,NC_016810,2073313,2073570,+,186,883,20844,23597548,238.4723626,0.00E+00,5UTR,CDS
FnrS,flhD#gene1882.5UTR,NC_016810,1706849,1706903,-,NC_016810,1979702,1979740,-,179,211428,713,23407141,27.79389233,1.24E-170,sRNA,5UTR
MgrR,hilC#gene2899,NC_016810,1550766,1550801,+,NC_016810,3035063,3035100,-,174,5891,6911,23606485,100.8905892,2.27E-267,sRNA,CDS
fliC#gene1914,CyaR,NC_016810,2005451,2005774,-,NC_016810,2228887,2228932,+,173,4463,96043,23518782,9.492231592,3.78E-96,CDS,sRNA
miaA#gene4381,CyaR,NC_016810,4625004,4625430,+,NC_016810,2228888,2228932,+,173,8743,96043,23514502,4.844575104,7.44E-54,CDS,sRNA
hilC#gene2899,ArcZ,NC_016810,3035183,3035197,-,NC_016810,3511879,3511917,+,172,14589,56136,23548564,4.945678578,6.72E-55,CDS,sRNA
sipC#gene2915,STnc440,NC_016810,3051409,3051592,-,NC_016810,4580531,4580566,+,172,2511,40400,23576378,39.97398591,1.16E-195,CDS,sRNA
murD#gene127,MgrR,NC_016810,147419,147453,+,NC_016810,1550812,1550843,+,169,5983,42837,23570472,15.54235888,3.62E-127,CDS,sRNA
glpK#gene4108,ArcZ,NC_016810,4317282,4317383,-,NC_016810,3511883,3511918,+,168,7851,56140,23555302,8.978433549,4.40E-90,CDS,sRNA
MgrR,SL1344_2984#gene3039,NC_016810,1550766,1550799,+,NC_016810,3185744,3185809,+,168,4544,22206,23592543,39.28035271,1.05E-190,sRNA,CDS
glpQ#gene2290,DapZ,NC_016810,2385609,2385679,-,NC_016810,74922,74925,+,167,1569,176916,23440809,14.10259429,8.55E-117,CDS,sRNA
SL1344_1685#gene1706.5UTR,ArcZ,NC_016810,1807859,1807897,-,NC_016810,3511893,3511918,+,165,1776,56143,23561377,38.98935365,5.05E-185,5UTR,sRNA
SL1344_2445#gene2491.acrD#gene2490.IGR,glmU#gene3889.glmS#gene3888.IGR,NC_016810,2594633,2594672,-,NC_016810,4092208,4092262,-,165,141252,4038,23474006,6.790632616,1.55E-70,IGR,IGR
hupB#gene452,SdsR,NC_016810,507567,507925,+,NC_016810,1925621,1925676,-,162,34387,23629,23561283,4.697581454,1.24E-48,CDS,sRNA
STnc475,InvR,NC_016810,142901,142905,+,NC_016810,3067584,3067587,+,160,1460,397743,23220098,6.397770103,3.61E-63,sRNA,sRNA
rfbU#gene2095,InvR,NC_016810,2164329,2164379,-,NC_016810,3067495,3067587,+,160,4734,398060,23216507,1.971242571,7.46E-08,CDS,sRNA
tsx#gene413.5UTR,STnc1010,NC_016810,467904,467963,-,NC_016810,41677,41710,+,159,1156,1145,23617001,2836.994877,0.00E+00,5UTR,sRNA
glpA#gene2292,ArcZ,NC_016810,2389537,2389547,+,NC_016810,3511914,3511917,+,158,1268,28805,23589230,102.0431176,1.01E-240,CDS,sRNA
ArcZ,dsbC#gene3075,NC_016810,3511862,3511863,+,NC_016810,3224633,3224668,-,157,121569,80,23497655,379.3248932,6.83E-289,sRNA,CDS
gcd#gene170,CyaR,NC_016810,200284,200576,-,NC_016810,2228902,2228932,+,156,537,79876,23538892,85.6091176,3.95E-221,CDS,sRNA
STnc870,sipB#gene2916,NC_016810,4292462,4292543,+,NC_016810,3052285,3052285,-,156,17238,650,23601417,328.5961295,1.011513257163e-312,sRNA,CDS
hilD#gene2907,InvR,NC_016810,3040601,3040637,+,NC_016810,3067536,3067587,+,155,1927,397748,23219631,4.695667022,6.61E-45,CDS,sRNA
