Gene_name,MAPS_logFC,MAPS_pValue,MAPS_FDR,Pulse_logFC,Pulse_pValue,Pulse_FDR,MFE,MFE_pValue,combi_2pvals,combi_3pvals
SL1344_1392,6.39,4.963235e-12,6.53553e-10,-0.6201267429999999,0.003351007,0.090227123,-3.0899999141693115,0.8221864088100994,1.1109616218617276e-10,7.41798995044454e-12
sRNA21,6.39,1.686435e-13,4.34618e-11,-0.265910157,0.209066763,0.840851232,-4.0300002098083505,0.43644980611805256,2.2994074170523173e-12,8.287946490712256e-12
sopE,6.37,2.83124e-13,6.38445e-11,-1.385697627,3.8134699999999997e-13,8.59937e-11,-11.399999618530273,0.015300546448087432,1.476015499051911e-13,3.244694240975177e-24
ybeJ,6.36,1.898565e-09,8.54117e-08,-0.8191358959999999,1.25615e-06,7.81409e-05,-4.699999809265137,0.41629260182876143,1.735511570337215e-08,6.277121953970234e-13
rbn,6.35,1.00011e-12,1.76882e-10,0.222789416,0.321574578,0.8911221779999999,-8.689999580383299,0.12183908045977013,3.7452536744175325e-12,1.992007475542448e-11
SL1344_3812,6.34,1.824975e-10,1.31166e-08,-0.4092688270000001,0.083176679,0.630120645,-0.9399999976158142,0.8581071377279909,3.692263655552887e-09,4.430923752335411e-09
yadB,6.32,3.716195e-10,2.24967e-08,-0.493141874,0.029008108,0.39942638,-3.4200000762939453,0.7479419835358683,6.393841196415595e-09,2.8444392968620477e-09
SL1344_4447,6.32,2.401875e-09,1.01475e-07,0.191849013,0.478695305,0.951670844,-2.200000047683716,0.8639898204439418,4.356501689886494e-08,2.3502956024708277e-07
torR,6.31,1.227525e-10,9.81151e-09,0.07967300299999999,0.756636167,0.980552058,-9.960000038146973,0.1755298400728124,5.507515114340309e-10,5.450825599864454e-09
SL1344_2283,6.3,2.84718e-10,1.84759e-08,-0.053963138,0.7630384290000001,0.980552058,-12.350000381469727,0.016979569298729985,1.3079568241024925e-10,1.3790571237396056e-09
SL1344_3378,6.3,1.38995e-12,2.25898e-10,-0.78023482,4.97464e-05,0.002425473,-1.2200000286102295,0.9201616978271856,3.6303759698556385e-11,4.6681187820156775e-14
ompX,6.3,1.547805e-10,1.16338e-08,0.16226143699999998,0.376086293,0.929724271,-0.75,0.9436188141565804,3.453740752901067e-09,1.668160465043204e-08
rfaB,6.29,4.32704e-13,9.07672e-11,-0.409531581,0.05861700900000001,0.551701998,-2.619999885559082,0.4951599671862182,6.464496911386026e-12,6.848185953010062e-12
SL1344_1393,6.27,3.340675e-10,2.07813e-08,-0.19880723,0.47040871,0.951670844,-7.8400001525878915,0.26208277703604804,2.1151812148261674e-09,1.2801672952234553e-08
siiD,6.26,6.1302e-09,2.20736e-07,-0.326617489,0.13606101,0.717701934,-0.44999998807907104,0.9612728503723764,1.1755851929623686e-07,1.9344831766954255e-07
siiA,6.23,1.119175e-09,5.51637e-08,-0.159727936,0.468844748,0.951670844,-5.940000057220459,0.3217552887364208,8.190354962841925e-09,4.671135326001355e-08
SL1344_4351,6.23,1.3047650000000005e-09,6.22698e-08,-0.496886373,0.065172134,0.57073073,-0.7900000214576721,0.9106523794516229,2.560643185642133e-08,2.2866833221899013e-08
hybG,6.22,2.040895e-10,1.3946100000000003e-08,-0.291661447,0.235299123,0.861158581,-3.9500000476837163,0.6684891318842512,3.235502658113909e-09,1.0178513075675014e-08
SL1344_4429,6.22,5.4494e-11,4.965020000000001e-09,-1.408230331,1.06391e-08,8.724030000000002e-07,-8.020000457763674,0.07840382183504285,1.1612250822455987e-10,4.715300643305836e-17
SL1344_1263,6.21,2.47606e-13,5.72669e-11,-0.091598614,0.587412395,0.966872226,-4.949999809265137,0.3965647129727287,3.0392182962720487e-12,2.8615596501799837e-11
trxA,6.2,7.520949999999999e-13,1.4133199999999998e-10,-0.103095457,0.6067923789999999,0.97404575,-9.170000076293944,0.19322212005779588,4.440996784960932e-12,4.257706018034323e-11
SL1344_1031,6.2,9.990700000000002e-09,3.29492e-07,-0.327371098,0.095167962,0.641725258,-5.3400001525878915,0.469492703266157,9.464479191002132e-08,1.1351570574798973e-07
hpt,6.2,5.6934e-10,3.14094e-08,0.167786186,0.513343299,0.957964143,-3.059999942779541,0.6791023842917251,8.766495796402348e-09,5.416211046596472e-08
SL1344_2767,6.18,3.0996599999999996e-09,1.23986e-07,-0.10142195,0.700192169,0.980552058,-6.619999885559082,0.31469951272333513,2.1214444241837293e-08,1.6720418048352392e-07
trcD,6.17,8.22035e-10,4.32348e-08,-0.004862534,0.984465456,0.996236646,-4.860000133514403,0.3010551395507148,5.7216139142665876e-09,6.53235635615259e-08
mltC,6.17,3.124805e-13,6.79175e-11,0.132718144,0.581301672,0.963536152,-7.960000038146973,0.3068343924264038,2.9699410377234466e-12,2.771133176340529e-11
SL1344_1301,6.15,3.75875e-12,5.176169999999999e-10,-0.372670777,0.075591875,0.611514543,-5.190000057220459,0.3388965517241379,3.616268012681094e-11,4.623064455196698e-11
SL1344_1568,6.13,1.9965350000000003e-09,8.827810000000002e-08,-0.35411422200000003,0.086227431,0.630120645,-0.36000001430511475,0.9856729577076732,4.141762409899151e-08,4.692862262778407e-08
ybbB,6.12,2.12505e-13,5.05026e-11,-0.024766899,0.92068148,0.990289457,-4.369999885559082,0.5782584734086526,3.7758873105706295e-12,5.3754705125608446e-11
waaK,6.12,1.103415e-09,5.483630000000001e-08,0.01647929,0.949500596,0.991822998,-15.270000457763672,0.006864988558352402,2.0153996295553984e-10,2.559231879208842e-09
hupB,6.11,1.01301e-14,4.06105e-12,-0.267018878,0.119850799,0.682053129,-3.7000000476837163,0.6013904982618772,2.0549890047968597e-13,4.696527045993612e-13
spaQ,6.09,8.24645e-10,4.32458e-08,-0.070115262,0.717242646,0.980552058,-4.190000057220459,0.7863564251718668,1.4367656173140181e-08,1.1784502538701517e-07
siiF,6.06,3.63682e-09,1.41093e-07,-0.287894816,0.101048528,0.649844828,-2.200000047683716,0.9195836044242031,6.861285882530574e-08,8.806979567850476e-08
SL1344_3569,6.06,3.479515e-12,4.939330000000001e-10,0.034644727,0.8725930540000001,0.988871448,-1.2599999904632568,0.9216152019002376,8.807646903086801e-11,1.0673384993657414e-09
SL1344_3447,6.05,2.9442500000000007e-06,3.63547e-05,-0.883959377,0.001449598,0.04754681,-3.9500000476837163,0.5005308660700744,2.1261990956392097e-05,4.705082403651479e-07
hilC,6.03,3.5826e-11,3.5317e-09,0.063955598,0.6940473509999999,0.980552058,-4.860000133514403,0.38521667580910585,3.5890698540289544e-10,3.3354664790894564e-09
SL1344_4339,6.01,2.4808249999999997e-09,1.03597e-07,0.023255116,0.888504029,0.989070004,-8.9399995803833,0.17526048624098314,9.807204762140935e-09,9.950021302531945e-08
rppH,6.0,5.0528e-12,6.60527e-10,-0.35445182,0.059977803,0.551701998,-7.380000114440918,0.19629146747790813,2.8405008016984153e-11,2.9454889413213407e-11
SL1344_0641,6.0,1.51448e-10,1.14795e-08,0.109577756,0.668402721,0.980552058,-5.119999885559082,0.4484230822200799,1.6579408793299094e-09,1.3999614686495258e-08
dapF,5.99,2.037825e-11,2.14985e-09,0.041965249,0.863818437,0.988871448,-5.449999809265137,0.280337341870998,1.536071450059967e-10,1.8058324704449167e-09
rfbI,5.99,4.93604e-11,4.63454e-09,0.181847476,0.407320023,0.940098223,-5.360000133514403,0.3440734800991398,4.381561544113068e-10,2.468693400067128e-09
SL1344_0139,5.98,1.381155e-10,1.06261e-08,0.158414285,0.509852698,0.957964143,-6.8499999046325675,0.5480264044186987,1.8396200747767437e-09,1.205783548002395e-08
SL1344_1824,5.96,1.303985e-13,3.56422e-11,0.033769497,0.8599427340000001,0.988871448,-2.9200000762939453,0.7933040147538658,3.1964427655843897e-12,4.292818583783923e-11
invI,5.95,1.605695e-08,4.87656e-07,0.179512077,0.273377841,0.865346655,-6.059999942779541,0.34327680193821924,1.1032964682797118e-07,3.430006091205793e-07
SL1344_1205,5.94,2.881615e-11,2.90415e-09,0.090660281,0.6502558629999999,0.977124664,-4.559999942779541,0.5255566447276292,3.9244571527963824e-10,3.4220867804611336e-09
SL1344_0956,5.94,1.311655e-09,6.24334e-08,-0.259710703,0.2111636,0.840851232,-4.1599998474121085,0.4728009259259259,1.3768023202492923e-08,3.701766655869861e-08
SL1344_3495,5.94,1.12682e-12,1.9546e-10,1.5011081,5.734580000000001e-10,6.46574e-08,-8.079999923706055,0.4204312114989733,1.3917881731826583e-11,3.487198495278857e-19
STnc4210,5.94,8.479e-11,7.21513e-09,-0.155478248,0.360062854,0.922323362,-8.479999542236326,0.16547651744026368,3.6465605995338293e-10,1.845497279679013e-09
SL1344_0239,5.93,9.1232e-12,1.08278e-09,0.070569258,0.74840754,0.980552058,-2.5299999713897705,0.8163437236731256,1.9828013593073085e-10,2.0213871257268164e-09
spaP,5.92,1.74231e-09,7.93719e-08,0.083610305,0.658470021,0.978681937,-0.8999999761581421,0.9693555036416106,3.580366859541099e-08,2.6039600755997755e-07
glgS,5.92,1.0587100000000002e-09,5.32009e-08,-0.005036096,0.983564758,0.996236646,-2.8299999237060547,0.7248282916849335,1.6873243507257012e-08,1.831084338123652e-07
cheR,5.92,7.563500000000001e-10,4.073e-08,-0.121581543,0.5709194320000001,0.962120616,-5.829999923706055,0.6252740167633785,1.0627631996160892e-08,7.175322616205825e-08
SL1344_0160,5.9,1.22896e-12,2.09155e-10,-0.359831629,0.099122134,0.649844828,-1.1799999475479126,0.8270613815019234,2.9084736294531265e-11,4.82304355476587e-11
yaeA,5.9,3.3950000000000008e-09,1.33433e-07,-0.452086179,0.062492098,0.557897263,-7.130000114440918,0.2199192462987887,1.643730905556285e-08,1.4357980377583406e-08
SL1344_2848,5.9,2.748875e-11,2.8176000000000003e-09,-0.027361384,0.8842990070000001,0.989070004,-10.4399995803833,0.06234344558864459,4.8143063732466176e-11,6.039896468074513e-10
maa,5.9,6.056149999999999e-13,1.17476e-10,0.118623592,0.545202947,0.962120616,-9.279999732971193,0.18042278174229165,3.3703309733386182e-12,2.9494428569564035e-11
smpB,5.9,3.6907199999999994e-12,5.12158e-10,-0.439592301,0.036479726,0.438687736,-6.519999980926514,0.4120623086140328,4.290466172239464e-11,2.7591886029266576e-11
RUF_220c,5.89,9.1359e-08,2.02223e-06,-0.410717032,0.041488119,0.474272002,-2.970000028610229,0.631678281068525,1.0196023798447028e-06,5.216257355578006e-07
fliA,5.89,1.60393e-09,7.38135e-08,0.056266094,0.769472855,0.980552058,-3.869999885559082,0.7143996808934983,2.473554032974902e-08,2.10896169019342e-07
SL1344_1209,5.87,3.96047e-09,1.52015e-07,-0.498674899,0.107912856,0.649844828,-6.210000038146973,0.3923495816177448,3.307064531586208e-08,4.6420966448317524e-08
SL1344_1480,5.87,4.17727e-08,1.04374e-06,-0.31391654,0.220416022,0.844226122,-3.0,0.8023681984775867,6.103867092018107e-07,1.4406553829199104e-06
yajC,5.86,1.6646e-09,7.62167e-08,0.222988295,0.274693685,0.865346655,-5.070000171661377,0.4253232278198841,1.56244060003655e-08,5.3163544194087355e-08
SL1344_0924,5.84,1.2768550000000001e-09,6.142530000000001e-08,0.16383218300000002,0.555390315,0.962120616,-3.190000057220459,0.6399819765695404,1.791647276398391e-08,1.1524195507857337e-07
SL1344_2214,5.83,6.6569e-09,2.35933e-07,-0.077493535,0.7504413190000001,0.980552058,-5.75,0.3856602716706344,5.33495861908466e-08,4.285162035825146e-07
SL1344_1873,5.81,3.999495e-12,5.42488e-10,-0.204250566,0.388757879,0.929724271,-4.420000076293945,0.7804040670804173,8.581112570452596e-11,4.912429369057202e-10
SL1344_2610,5.81,9.35755e-13,1.70516e-10,-1.095956121,3.97809e-11,5.12605e-09,-4.769999980926514,0.4127428127428128,1.1425478450345267e-11,2.2020749897464562e-20
SL1344_3182,5.81,2.3975599999999997e-10,1.59601e-08,-0.112172508,0.619553982,0.97404575,-14.119999885559082,0.006672468813460981,4.5051229717602414e-11,4.0698457258234136e-10
StyR-88,5.8,8.03575e-09,2.74555e-07,-0.17720267,0.459385091,0.951670844,-1.919999957084656,0.8658212916543793,1.3764376328553473e-07,6.772190069815504e-07
pldB,5.77,5.57775e-11,5.0109700000000005e-09,-0.08784003900000001,0.705684943,0.980552058,-1.3600000143051147,0.9014746182957066,1.2426378816211469e-09,1.1161289431429663e-08
mdfA,5.77,2.8475900000000008e-08,7.57678e-07,0.084093186,0.7778117370000001,0.980552058,-0.18000000715255735,0.9925597367291458,5.195402695227674e-07,3.827284838953421e-06
SL1344_1211,5.75,1.30051e-08,4.09632e-07,0.156650245,0.540226679,0.962120616,-9.520000457763672,0.06527040596757998,1.8578859118373485e-08,1.1633492136484056e-07
spiR,5.74,1.82461e-08,5.416320000000001e-07,-0.301474752,0.184588517,0.789094037,-1.149999976158142,0.8669148441135411,2.9993944740694145e-07,6.240971597102642e-07
rfaQ,5.73,1.91897e-10,1.34267e-08,0.127699005,0.586930505,0.966872226,-5.059999942779541,0.4008596783139212,1.868340379011926e-09,1.393035152274246e-08
yihX,5.73,1.7800799999999998e-08,5.31666e-07,-0.034807536,0.882972548,0.989070004,-6.239999771118164,0.3017149795113067,1.0764251635177932e-07,9.667011482002351e-07
SL1344_2546,5.72,2.965845e-11,2.97243e-09,-0.225920393,0.338351849,0.8991572840000001,-4.420000076293945,0.5492050978846407,4.209057774450062e-10,2.000353353171038e-09
SL1344_1210,5.72,1.584455e-08,4.82401e-07,-0.091267438,0.736444147,0.980552058,-6.6500000953674325,0.3424789742175651,1.0870207022244441e-07,8.28485388071255e-07
mutH,5.71,2.114425e-08,6.02594e-07,0.006516786,0.976982291,0.996236646,-2.8499999046325684,0.8092413793103448,3.231127862833973e-07,2.996251754448155e-06
SL1344_1701,5.71,4.32943e-09,1.63054e-07,0.213971152,0.402792433,0.936388594,-6.269999980926514,0.20328246472790096,1.9230994051333148e-08,9.199756286845515e-08
cap,5.71,8.0273e-12,9.71896e-10,-0.7605304959999999,0.000132842,0.005845035,-10.859999656677246,0.03541984732824428,8.498114203166924e-12,2.8471416038293077e-14
SL1344_3312,5.7,2.99716e-10,1.91733e-08,-0.023413506,0.923021178,0.990289457,-3.5499999523162837,0.7383323847467274,5.140909693646187e-09,5.560168829239854e-08
SL1344_3671,5.68,8.041249999999999e-11,6.940880000000001e-09,-0.301593694,0.133300452,0.7083182440000001,-4.360000133514403,0.5476223294279807,1.0941114391690612e-09,2.120594862809117e-09
STnc4240,5.68,1.151225e-08,3.72429e-07,0.078607422,0.705628417,0.980552058,-3.640000104904175,0.4705146036161335,1.0851662359807989e-07,7.958591793259025e-07
bacA,5.68,6.9684e-08,1.5997799999999996e-06,-0.256625665,0.219477339,0.844215608,-8.800000190734863,0.23435244718540876,3.091422210849759e-07,7.510132024361467e-07
siiB,5.66,4.867765e-09,1.80317e-07,-0.195005224,0.324736776,0.895757101,-5.96999979019165,0.2641670217298679,2.7610657646498385e-08,1.0681776412770363e-07
rfbU,5.64,9.64845e-10,5.01389e-08,-0.028980719,0.912406831,0.990289457,-9.460000038146973,0.05379969096783256,1.2811783961277149e-09,1.4556853998780541e-08
SL1344_3288,5.64,1.053465e-10,8.599339999999999e-09,0.233158966,0.330720647,0.897480257,-7.829999923706055,0.1443483447658813,3.939920564064438e-10,1.8377764228241702e-09
plsX,5.64,7.07775e-10,3.85747e-08,-0.381839721,0.086767875,0.630120645,-6.429999828338622,0.3847467273762095,6.2697778511867514e-09,7.674988439419152e-09
SL1344_4251,5.62,2.2327150000000007e-08,6.31319e-07,-1.149042816,7.680020000000001e-09,6.597499999999999e-07,-3.3299999237060547,0.5650853341047151,2.420931432167679e-07,6.954071085797067e-14
SL1344_0205,5.62,1.91888e-09,8.567719999999999e-08,-0.105149672,0.651055347,0.977124664,-10.25,0.05886369844304835,2.700019736513109e-09,2.180796475428472e-08
galS,5.61,3.00517e-11,2.99521e-09,0.036994119,0.8730263140000001,0.988871448,-2.799999952316284,0.8094516395701296,6.188259615045922e-10,6.956036772486166e-09
SL1344_2316,5.61,2.06593e-09,8.98794e-08,-0.223133382,0.350360243,0.906186982,-7.210000038146973,0.2436017687257135,1.1278103376414205e-08,4.860457847262155e-08
gtgE,5.6,1.5915700000000002e-10,1.18156e-08,-0.007448025,0.971133583,0.995335842,-8.050000190734862,0.08059701492537312,3.3453586980959183e-10,4.252078872719005e-09
lgt,5.59,2.00269e-11,2.13778e-09,-0.385373216,0.06085848,0.551701998,-1.2699999809265137,0.9197916666666668,4.737321294726587e-10,4.563817799596763e-10
fruR,5.58,1.054715e-09,5.31483e-08,0.297654132,0.210230931,0.840851232,-5.1599998474121085,0.4709302325581395,1.1137461023773745e-08,3.008187305045381e-08
rfaJ,5.58,6.84395e-10,3.75274e-08,-0.4869406220000001,0.032432052999999995,0.412024104,-9.770000457763672,0.07580598315422597,1.2805359800826222e-09,6.656508021638631e-10
cybB,5.57,5.670599999999999e-10,3.13796e-08,0.165775511,0.532493358,0.960618018,-7.679999828338622,0.3164591977869986,4.206540147265048e-09,2.773185811499873e-08
hilA,5.56,2.05092e-08,5.86348e-07,-0.093829564,0.610993994,0.97404575,-11.350000381469727,0.018769096464426014,8.729625417891982e-09,6.325311480833419e-08
sicP,5.54,1.04278e-09,5.26939e-08,-0.11353388,0.5573525429999999,0.962120616,-0.07000000029802322,0.9967295971458302,2.2538369362982505e-08,1.4393104092338384e-07
yghB,5.54,1.7559e-10,1.27728e-08,0.306314105,0.25870967,0.865346655,-7.210000038146973,0.15307262569832406,6.810813501279399e-10,2.4805248546354762e-09
argS,5.54,6.6875e-12,8.377949999999999e-10,0.488340206,0.02253379,0.359742991,-4.0,0.5172312655814636,9.474173394270607e-11,3.79340343620291e-11
STnc600,5.53,5.12315e-07,8.450729999999999e-06,-1.003045238,3.24291e-09,3.0790500000000003e-07,-8.520000457763674,0.0787666433076384,7.273927079004325e-07,9.243350232899012e-14
rpsP-leader,5.52,2.6451999999999993e-06,3.32771e-05,-0.281994582,0.08631036199999999,0.630120645,-3.4600000381469727,0.7369848156182213,2.7581039344566724e-05,2.3260681834074292e-05
hilD,5.52,5.44045e-09,1.99483e-07,-0.221875293,0.211247897,0.840851232,-2.700000047683716,0.8031907937753368,8.848055533322378e-08,2.198733605210287e-07
ais,5.51,4.18364e-10,2.4424900000000003e-08,0.219780552,0.296387646,0.867311043,-5.119999885559082,0.4960562168363689,4.8346120014517156e-09,1.8509246086871275e-08
invA,5.51,2.957425e-10,1.91226e-08,-0.023944581,0.8726803609999999,0.988871448,-3.2799999713897705,0.7407458755025648,5.091544665678556e-09,5.233713794497426e-08
SL1344_1520,5.5,1.462235e-07,3.0216200000000006e-06,0.049258992,0.8594902740000001,0.988871448,-5.46999979019165,0.6637931034482759,1.6644134479678688e-06,1.2524725872600607e-05
SL1344_3932,5.49,5.3636e-12,6.91138e-10,-0.066153812,0.7272108359999999,0.980552058,-5.380000114440918,0.7402912621359223,1.0820789190381648e-10,1.0988891465330876e-09
STnc660,5.49,6.8408e-09,2.41503e-07,-0.061181215,0.80082497,0.980552058,-5.380000114440918,0.2631017468995866,3.8040367590030746e-08,3.29456267425277e-07
fliZ,5.47,1.910595e-08,5.59531e-07,0.402869435,0.031490907,0.410315052,-7.699999809265138,0.2321797876740659,8.975615910777185e-08,3.9274331523535925e-08
RUF_279,5.45,4.564075e-08,1.11566e-06,-0.15549157,0.442219375,0.951670844,-3.559999942779541,0.6819542732716385,5.691268949776907e-07,2.517828226018218e-06
