RNA1 name,RNA2 name,RNA1 chromosome,Start of RNA1 first read,Start of RNA1 last read,RNA1 strand,RNA2 chromosome,Start of RNA2 last read,Start of RNA2 first read,RNA2 strand,Number of interactions,Other interactions of RNA1,Other interactions of RNA2,Total other interactions,Odds ratio,Fishers exact test p-value,RNA1 type,RNA2 type
SL1344_2445#gene2491.acrD#gene2490.IGR,SdsR,NC_016810,2594633,2594681,-,NC_016810,1925621,1925667,-,486,80297,6977,19648970,17.04543214,0,IGR,sRNA
STnc870,SL1344_1710#gene1733,NC_016810,4292524,4292559,+,NC_016810,1837605,1837621,-,484,17797,18614,19699835,28.78203124,0,sRNA,CDS
ArcZ,RybB,NC_016810,3511815,3512116,+,NC_016810,941812,941869,-,469,117382,46918,19571961,1.666733592,1.16E-17,sRNA,sRNA
siiE#gene4281,InvR,NC_016810,4504207,4504270,+,NC_016810,3067525,3067587,+,465,6323,332565,19397377,4.289396931,1.77E-130,CDS,sRNA
SL1344_0649#gene655,MgrR,NC_016810,723878,723898,-,NC_016810,1550834,1550843,+,456,102,42772,19693400,2058.381239,0,CDS,sRNA
glpT#gene2291,STnc870,NC_016810,2387307,2387318,-,NC_016810,4292564,4292599,+,440,55195,20765,19660330,7.547650934,5.16E-214,CDS,sRNA
tRNA-Leu#rna80,DapZ,NC_016810,4162680,4162681,+,NC_016810,74872,74893,+,438,16163,127257,19592872,4.172233041,5.27E-121,tRNA,sRNA
ArcZ,hilC#gene2899,NC_016810,3511847,3511865,+,NC_016810,3035103,3035160,-,432,115969,10466,19609863,6.979682441,2.27E-196,sRNA,CDS
SL1344_1446#gene1467.MgrR.IGR,MgrR,NC_016810,1550970,1550980,-,NC_016810,1550836,1550843,+,393,1062,42835,19692440,170.1252566,0,IGR,sRNA
nlpD#gene2957,MgrR,NC_016810,3089010,3089297,-,NC_016810,1550781,1550844,+,373,37571,43438,19655348,4.492281822,4.38E-112,CDS,sRNA
SL1344_1928#gene1956.AS,SL1344_1968#gene1996,NC_016810,2041252,2041273,-,NC_016810,2073565,2073576,+,369,33,21235,19715093,10381.47329,0,AS,CDS
ddlA#gene381,MgrR,NC_016810,433644,433751,-,NC_016810,1550812,1550844,+,368,470,42860,19693032,359.7579341,0,CDS,sRNA
ompH#gene226.5UTR,STnc870,NC_016810,264847,264847,+,NC_016810,4292578,4292599,+,349,6572,20856,19708953,50.18343765,0,5UTR,sRNA
ArcZ,hilC#gene2899.RUF_219c.IGR,NC_016810,3511862,3511875,+,NC_016810,3034106,3034513,-,344,116057,8027,19612302,7.242064885,4.29E-160,sRNA,IGR
FnrS,SL1344_1968#gene1996,NC_016810,1706832,1706903,-,NC_016810,2073568,2073575,+,334,113645,21270,19601481,2.708429465,6.25E-48,sRNA,CDS
hupB#gene452,MgrR,NC_016810,507604,507687,+,NC_016810,1550769,1550844,+,329,29533,43482,19663386,5.03775596,3.40E-111,CDS,sRNA
rfaI#gene3746,InvR,NC_016810,3935642,3935697,-,NC_016810,3067508,3067586,+,328,937,332702,19402763,20.41467264,1.37E-269,CDS,sRNA
SL1344_2445#gene2491.acrD#gene2490.IGR,STnc3640.AS,NC_016810,2594633,2594681,-,NC_016810,1915906,1915907,-,327,80456,911,19655036,87.68893231,0,IGR,AS
ArcZ,stdA#gene3063,NC_016810,3511862,3511863,+,NC_016810,3213153,3213242,-,321,116080,212,19620117,255.9253848,0,sRNA,CDS
glpQ#gene2290,DapZ,NC_016810,2385611,2385678,-,NC_016810,74922,74924,+,319,2321,133312,19600778,20.20782669,5.23E-272,CDS,sRNA
ArcZ,SL1344_3483#gene3544.3UTR,NC_016810,3511862,3511864,+,NC_016810,3701103,3701404,-,314,116087,390,19619939,136.075239,0,sRNA,3UTR
ArcZ,SL1344_1457#gene1478.SL1344_1456#gene1477.IGR,NC_016810,3511862,3511864,+,NC_016810,1560754,1560772,-,314,116087,15,19620314,3538.023836,0,sRNA,IGR
SL1344_2564#gene2609.AS,ChiX,NC_016810,2747222,2747246,+,NC_016810,555564,555573,+,314,35,9700723,10035658,9.281183363,7.62E-53,AS,sRNA
phoQ#gene1186,ChiX,NC_016810,1274219,1274281,-,NC_016810,555565,555574,+,313,60,9700724,10035633,5.396767514,7.41E-38,CDS,sRNA
lppA#gene1331,CyaR,NC_016810,1416272,1416491,-,NC_016810,2228888,2228932,+,308,17355,72179,19646888,4.830688205,3.38E-99,CDS,sRNA
SL1344_1663#gene1684,CyaR,NC_016810,1784841,1784988,-,NC_016810,2228903,2228933,+,304,27363,52429,19656634,4.165311162,6.76E-83,CDS,sRNA
ArcZ,cstA#gene595,NC_016810,3511861,3511863,+,NC_016810,660801,660838,+,296,116105,1785,19618544,28.02007805,1.58E-290,sRNA,CDS
smg#gene3432,MgrR,NC_016810,3596481,3596839,-,NC_016810,1550836,1550844,+,296,1706,42932,19691796,79.58237422,0,CDS,sRNA
ArcZ,murC#gene130,NC_016810,3511862,3511864,+,NC_016810,151943,152009,+,295,116106,79,19620250,631.0224321,0,sRNA,CDS
ompF#gene952.5UTR,MicF,NC_016810,1047153,1047504,-,NC_016810,2364670,2364722,+,293,2854,83734,19649849,24.09189884,1.70E-272,5UTR,sRNA
MgrR,hilC#gene2899,NC_016810,1550784,1550801,+,NC_016810,3034915,3035109,-,292,4973,29384,19702081,39.37001471,0,sRNA,CDS
SL1344_3126#gene3183,CyaR,NC_016810,3336607,3336672,-,NC_016810,2228923,2228933,+,291,990,52442,19683007,110.3239989,0,CDS,sRNA
glpT#gene2291,InvR,NC_016810,2386934,2387096,-,NC_016810,3067533,3067588,+,286,8110,332744,19395590,2.055596838,1.90E-20,CDS,sRNA
sdhC#gene726,SL1344_1968#gene1996,NC_016810,797740,797751,+,NC_016810,2073569,2073618,+,286,944,214247,19521253,27.60495093,4.88E-272,CDS,CDS
ArcZ,SL1344_1987#gene2017,NC_016810,3511861,3511863,+,NC_016810,2090807,2091079,-,284,116117,205,19620124,234.0832939,0,sRNA,CDS
purR#gene1384.sodB#gene1385.IGR,ChiX,NC_016810,1465942,1465962,+,NC_016810,555571,555574,+,282,25,9700755,10035668,11.66943553,1.03E-51,IGR,sRNA
aspA#gene4347,ArcZ,NC_016810,4592944,4592953,-,NC_016810,3511903,3511918,+,281,13884,17941,19704624,22.22865681,1.60E-255,CDS,sRNA
SL1344_1615#gene1636,ArcZ,NC_016810,1736796,1736845,-,NC_016810,3511897,3511918,+,279,319,41636,19694496,413.7036872,0,CDS,sRNA
rfbK#gene2092,MgrR,NC_016810,2160200,2160238,-,NC_016810,1550825,1550844,+,275,2512,42953,19690990,50.18652303,0,CDS,sRNA
SL1344_2715#gene2765.5UTR,CyaR,NC_016810,2893954,2893976,-,NC_016810,2228925,2228932,+,272,6942,52461,19677055,14.69629393,1.07E-200,5UTR,sRNA
STnc475,InvR,NC_016810,142901,142905,+,NC_016810,3067508,3067587,+,272,1763,332758,19401937,8.995662982,3.41E-143,sRNA,sRNA
SL1344_2445#gene2491.acrD#gene2490.IGR,STnc870,NC_016810,2594633,2594667,-,NC_016810,4292541,4292599,+,272,80511,20933,19635014,3.168935684,2.26E-50,IGR,sRNA
GcvB,dppA#gene3657.5UTR,NC_016810,3156779,3156818,+,NC_016810,3837336,3837387,-,268,817755,1986,18916721,3.121606815,2.15E-45,sRNA,5UTR
STnc870,SL1344_1783#gene1805.5UTR,NC_016810,4292542,4292543,+,NC_016810,1909285,1909324,-,268,18013,294,19718155,997.8555812,0,sRNA,5UTR
SL1344_4251#gene4334,InvR,NC_016810,4582025,4582066,-,NC_016810,3067531,3067586,+,267,1373,332763,19402327,11.33860204,1.38E-162,CDS,sRNA
pitA#gene3615.5UTR,SLnc0022,NC_016810,3779825,3779858,+,NC_016810,2073295,2073339,+,267,16475,749,19719239,426.6720271,0,5UTR,sRNA
ArcZ,STnc740,NC_016810,3511862,3511866,+,NC_016810,2240284,2240292,-,266,116135,18252,19602077,2.459858599,1.93E-30,sRNA,sRNA
ompC#gene2276.5UTR,InvR,NC_016810,2364165,2364200,-,NC_016810,3067529,3067586,+,264,1318,332766,19402382,11.67897211,1.65E-163,5UTR,sRNA
SL1344_1954#gene1982,SL1344_1968#gene1996,NC_016810,2062072,2062259,-,NC_016810,2073568,2073618,+,259,96,214274,19522101,245.8021116,0,CDS,CDS
siiE#gene4281,STnc440,NC_016810,4520335,4520399,+,NC_016810,4580521,4580566,+,247,3133,39625,19693725,39.18277157,2.80E-280,CDS,sRNA
SL1344_2438#gene2484,InvR,NC_016810,2583429,2583471,-,NC_016810,3067536,3067587,+,243,3126,332787,19400574,4.531745652,3.03E-70,CDS,sRNA
SL1344_4445#gene4535.5UTR,GcvB,NC_016810,4789001,4789052,-,NC_016810,3156847,3156984,+,242,2125,872701,18861662,2.461336069,1.33E-25,5UTR,sRNA
GcvB,ybeJ#gene660.5UTR,NC_016810,3156808,3156932,+,NC_016810,729217,729272,-,242,850611,163,18885714,32.96326148,2.27E-210,sRNA,5UTR
glpT#gene2291,ArcZ,NC_016810,2387309,2387379,-,NC_016810,3511872,3511900,+,234,55401,23459,19657636,3.539321769,1.40E-50,CDS,sRNA
STnc840.ams#gene1140.IGR,ChiX,NC_016810,1224342,1224359,+,NC_016810,555569,555574,+,233,26,9700804,10035667,9.270882682,7.39E-38,IGR,sRNA
SL1344_3283#gene3339,InvR,NC_016810,3499077,3499112,-,NC_016810,3067536,3067587,+,229,1648,332801,19402052,8.101050074,2.67E-111,CDS,sRNA
InvR,rmf#gene1022,NC_016810,3067489,3067537,+,NC_016810,1113978,1114088,+,227,314606,6881,19415016,2.0358466,9.27E-15,sRNA,CDS
prgH#gene2906,InvR,NC_016810,3039351,3039498,-,NC_016810,3067556,3067587,+,226,3403,332804,19400297,3.871384716,1.02E-53,CDS,sRNA
SL1344_1263#gene1283,InvR,NC_016810,1364036,1364062,-,NC_016810,3067534,3067587,+,223,1008,332807,19402692,12.89774744,2.48E-145,CDS,sRNA
glpK#gene4108,InvR,NC_016810,4316533,4316569,-,NC_016810,3067533,3067589,+,223,2731,332807,19400969,4.760078691,1.22E-67,CDS,sRNA
aspA#gene4347,SL1344_1968#gene1996,NC_016810,4592761,4592898,-,NC_016810,2073468,2073587,+,223,2431,22571,19711505,80.11039774,0,CDS,CDS
glpF#gene4109.glpK#gene4108.IGR,ArcZ,NC_016810,4317273,4317328,-,NC_016810,3511886,3511918,+,222,17274,41693,19677541,6.065515815,3.89E-88,IGR,sRNA
gmhA#gene312.SL1344_0307#gene313.IGR,CyaR,NC_016810,355106,355499,+,NC_016810,2228910,2228932,+,220,2208,52513,19681789,37.34404466,7.22E-244,IGR,sRNA
ArcZ,invJ#gene2923,NC_016810,3511861,3511863,+,NC_016810,3058320,3058495,-,218,116183,7866,19612463,4.678343462,3.21E-66,sRNA,CDS
slyB#gene1399,InvR,NC_016810,1477354,1477399,-,NC_016810,3067532,3067586,+,217,375,332813,19403325,33.7368354,5.51E-214,CDS,sRNA
rmf#gene1022,InvR,NC_016810,1114019,1114121,+,NC_016810,3067529,3067587,+,215,2502,332815,19401198,5.009297335,1.18E-68,CDS,sRNA
ribB#gene3225,MgrR,NC_016810,3379135,3379195,-,NC_016810,1550810,1550843,+,215,981,43013,19692521,100.3392928,0,CDS,sRNA
SL1344_3569#gene3630.5UTR,MicA,NC_016810,3800175,3800204,-,NC_016810,2989457,2989505,+,215,4612,4826,19727077,190.5568581,0,5UTR,sRNA
SL1344_1710#gene1733,CyaR,NC_016810,1837454,1837699,-,NC_016810,2228881,2228932,+,213,9211,72274,19655032,6.288752239,6.51E-87,CDS,sRNA
nlpD#gene2957,RprA,NC_016810,3089163,3089199,-,NC_016810,1401685,1401720,-,213,3668,98257,19634592,11.60402505,1.94E-135,CDS,sRNA
cyoB#gene443,CyaR,NC_016810,496309,496350,-,NC_016810,2228923,2228932,+,211,1102,52522,19682895,71.75440724,1.61E-288,CDS,sRNA
SL1344_1085#gene1103,MgrR,NC_016810,1189927,1189949,+,NC_016810,1550836,1550844,+,211,651,43017,19692851,148.3781467,0,CDS,sRNA
RprA,nlpD#gene2957,NC_016810,1401730,1401740,-,NC_016810,3089215,3089268,-,210,98118,22454,19615948,1.869761405,9.61E-10,sRNA,CDS
tsx#gene413.5UTR,RybB,NC_016810,467926,467959,-,NC_016810,941812,941816,-,210,744,47177,19688599,117.7960838,0,5UTR,sRNA
ArcZ,ompA#gene1026,NC_016810,3511862,3511862,+,NC_016810,1117419,1117493,-,207,116194,684,19619645,51.10009247,5.18E-249,sRNA,CDS
STnc510,MgrR,NC_016810,1288716,1288896,+,NC_016810,1550836,1550844,+,206,786,43022,19692716,119.9664192,0,sRNA,sRNA
clpB#gene2671,CyaR,NC_016810,2804407,2804852,-,NC_016810,2228908,2228932,+,204,7504,52529,19676493,10.18323824,4.40E-120,CDS,sRNA
hilD#gene2907,InvR,NC_016810,3040611,3040680,+,NC_016810,3067539,3067587,+,202,3433,332828,19400267,3.429773321,4.52E-40,CDS,sRNA
GJB7-4688,InvR,NC_017718,14832,14854,+,NC_016810,3067533,3067587,+,201,609,332829,19403091,19.24103923,3.38E-159,NC_017718#gene,sRNA
aspA#gene4347,InvR,NC_016810,4592577,4592674,-,NC_016810,3067533,3067589,+,201,1006,332829,19402694,11.64766714,3.59E-123,CDS,sRNA
ArcZ,dbh#gene315,NC_016810,3511862,3511863,+,NC_016810,357643,357670,+,200,116201,30,19620299,1125.652906,0,sRNA,CDS
ybfM#gene682,ChiX,NC_016810,750292,750299,+,NC_016810,555565,555574,+,199,26,9700838,10035667,7.918022265,4.87E-29,CDS,sRNA
traS,GcvB,NC_017720,10714,10773,-,NC_016810,3156904,3156984,+,197,2550,736563,18997420,1.992557079,8.63E-11,NC_017720#gene,sRNA
SL1344_2445#gene2491.acrD#gene2490.IGR,glmU#gene3889.glmS#gene3888.IGR,NC_016810,2594633,2594674,-,NC_016810,4092256,4092258,-,195,80588,4518,19651429,10.5247586,1.33E-116,IGR,IGR
ArcZ,glpK#gene4108,NC_016810,3511862,3511871,+,NC_016810,4317219,4317398,-,192,116209,18199,19602130,1.779578724,1.35E-06,sRNA,CDS
secE#gene4167.5UTR,CyaR,NC_016810,4383276,4383327,+,NC_016810,2228891,2228932,+,191,1579,72296,19662664,32.89874461,3.36E-200,5UTR,sRNA
STnc870,glpT#gene2291,NC_016810,4292524,4292554,+,NC_016810,2387107,2387567,-,190,18091,85693,19632756,2.406173554,2.48E-19,sRNA,CDS
dnaA#gene3865,SL1344_1968#gene1996,NC_016810,4064955,4064976,-,NC_016810,2073617,2073618,+,189,300,192740,19543501,63.880905,6.69E-235,CDS,CDS
StyR-88,FnrS,NC_016810,2681159,2681234,-,NC_016810,1706804,1706867,-,185,1461,94182,19640902,26.40675478,1.34E-176,sRNA,sRNA
sipA#gene2913,InvR,NC_016810,3048029,3048280,-,NC_016810,3067536,3067586,+,185,823,332845,19402877,13.10376169,8.25E-121,CDS,sRNA
ArcZ,siiE#gene4281,NC_016810,3511862,3511863,+,NC_016810,4507321,4507383,+,176,116225,1326,19619003,22.40508121,1.30E-155,sRNA,CDS
murD#gene127,MgrR,NC_016810,147436,147563,+,NC_016810,1550835,1550843,+,174,4150,43054,19689352,19.17428014,1.72E-145,CDS,sRNA
MicA,tolB#gene742,NC_016810,2989429,2989450,+,NC_016810,816523,816589,+,174,3835,18297,19714424,48.88640312,2.08E-213,sRNA,CDS
mppA#gene1630,ChiX,NC_016810,1729063,1729078,-,NC_016810,555565,555573,+,173,68,9700864,10035625,2.631910999,4.43E-06,CDS,sRNA
SL1344_3086#gene3142,InvR,NC_016810,3290517,3290573,+,NC_016810,3067533,3067587,+,173,1371,332857,19402329,7.355374982,4.93E-77,CDS,sRNA
dacC#gene855.5UTR,CyaR,NC_016810,934667,934733,+,NC_016810,2228908,2228932,+,172,869,52561,19683128,74.12064124,1.62E-236,5UTR,sRNA
SL1344_2492#gene2537,InvR,NC_016810,2663013,2663029,-,NC_016810,3067547,3067587,+,171,1154,332859,19402546,8.637513103,8.62E-86,CDS,sRNA
sopE2#gene1806,InvR,NC_016810,1910250,1910274,-,NC_016810,3067543,3067587,+,171,3428,332859,19400272,2.907386784,4.70E-25,CDS,sRNA
osmY#gene4583.3UTR,CyaR,NC_016810,4837264,4837562,+,NC_016810,2228888,2228932,+,170,3964,72317,19660279,11.6590872,6.66E-108,3UTR,sRNA
ArcZ,orgAa#gene2902,NC_016810,3511862,3511864,+,NC_016810,3037220,3037531,-,170,116231,2643,19617686,10.85619318,1.62E-102,sRNA,CDS
GcvB,ysgA#gene3991,NC_016810,3156803,3156818,+,NC_016810,4196119,4196134,-,170,808344,216,18928000,18.42908098,3.72E-120,sRNA,CDS
STnc870,sipB#gene2916,NC_016810,4292542,4292543,+,NC_016810,3052285,3052285,-,170,18111,1139,19717310,162.491419,2.16E-292,sRNA,CDS
glpF#gene4109,SdsR,NC_016810,4318042,4318126,-,NC_016810,1925621,1925674,-,170,37446,7293,19691821,12.25809984,8.21E-112,CDS,sRNA
ybjU#gene888,CyaR,NC_016810,966046,966148,-,NC_016810,2228891,2228932,+,169,981,72318,19663262,46.84107529,3.78E-200,CDS,sRNA
siiA#gene4277.5UTR,Spf,NC_016810,4498949,4499055,+,NC_016810,4230529,4230612,+,169,4979,31887,19699695,20.96961316,1.28E-147,5UTR,sRNA
SL1344_2710#gene2761,ChiX,NC_016810,2888704,2888728,+,NC_016810,555572,555574,+,166,72,9700871,10035621,2.385113847,0.000547001,CDS,sRNA
thrL#gene0,GcvB,NC_016810,237,237,+,NC_016810,3156808,3156984,+,164,1456,872779,18862331,2.434296903,2.51E-15,CDS,sRNA
InvR,rfbU#gene2095,NC_016810,3067506,3067532,+,NC_016810,2163935,2164288,-,164,310997,3969,19421600,2.580426865,1.30E-18,sRNA,CDS
STnc440,siiA#gene4277.5UTR,NC_016810,4580485,4580499,+,NC_016810,4498726,4498890,+,164,39195,3095,19694276,26.62517959,8.46E-159,sRNA,5UTR
gdhA#gene1254.5UTR,GcvB,NC_016810,1336843,1336894,-,NC_016810,3156913,3156966,+,163,1189,736597,18998781,3.535912755,1.30E-31,5UTR,sRNA
STnc1180,tolB#gene742,NC_016810,4559954,4559976,-,NC_016810,816573,816589,+,162,870,18309,19717389,200.5305486,5.75E-292,sRNA,CDS
folC#gene2373,STnc870,NC_016810,2475201,2475268,-,NC_016810,4292567,4292599,+,162,402,21043,19715123,377.5554965,0,CDS,sRNA
sipA#gene2913,DapZ,NC_016810,3047886,3047890,-,NC_016810,74870,74890,+,161,580,127534,19608455,42.67910241,4.34E-181,CDS,sRNA
nlpD#gene2957,DsrA,NC_016810,3088890,3089297,-,NC_016810,2026232,2026268,-,160,41194,1790,19693586,42.73244978,1.66E-185,CDS,sRNA
SL1344_1446#gene1467.MgrR.IGR,CyaR,NC_016810,1550970,1551007,-,NC_016810,2228885,2228893,+,159,1516,19595,19715460,105.5260227,4.67E-245,IGR,sRNA
