Genome,Type,Start,End,Strand,Locus_tag,Gene_name,MS2-PinT_SPI-1_vs_PinT_SPI-1_log2FoldChange,MS2-PinT_SPI-1_vs_PinT_SPI-1_pvalue,MS2-PinT_SPI-1_vs_PinT_SPI-1_padj,MS2-PinT_SPI-1_vs_MS2_SPI-1_log2FoldChange,MS2-PinT_SPI-1_vs_MS2_SPI-1_pvalue,MS2-PinT_SPI-1_vs_MS2_SPI-1_padj
NC_016810.1,CDS,3936997,3937230,-,SL1344_3686,SL1344_3686,7.85,3.2992699999999994e-14,6.12044e-12,-0.21,0.799360795,0.92241393
NC_016810.1,CDS,2344418,2345065,+,SL1344_2222,narP,7.82,9.3175e-18,1.6808799999999998e-14,-0.65,0.42263702200000003,0.6984589290000001
NC_016810.1,CDS,3778391,3779587,-,SL1344_3553,SL1344_3553,7.82,1.5493299999999999e-09,4.1224199999999997e-08,2.53,0.006610919,0.07533321400000001
NC_016810.1,CDS,2013070,2013456,+,SL1344_1896,SL1344_1896,7.79,7.82753e-07,6.795410000000001e-06,1.2,0.347540251,0.6428589339999999
NC_016810.1,CDS,3987006,3987908,+,SL1344_3730,yicL,7.7,2.24854e-08,3.6543799999999997e-07,-1.31,0.135794248,0.419829513
NC_016810.1,CDS,1017164,1017856,+,SL1344_0913,SL1344_0913,7.69,3.46674e-07,3.50561e-06,0.7,0.542836939,0.785689758
NC_016810.1,CDS,609744,610376,-,SL1344_0542,fimZ,7.67,7.718039999999999e-08,9.75024e-07,0.8,0.40527522299999996,0.6888238740000001
NC_016810.1,CDS,782402,783142,+,SL1344_0699,SL1344_0699,7.57,1.68822e-07,1.8856e-06,1.75,0.077155036,0.31335814
NC_016810.1,CDS,4073651,4074586,+,SL1344_3813,SL1344_3813,7.55,1.63498e-14,3.68688e-12,0.52,0.559922646,0.7982545759999999
NC_016810.1,sRNA,610437,610589,-,ncRNA0129,sRNA32,7.55,9.4463e-08,1.14987e-06,0.0,0.9980905809999999,0.999555735
NC_016810.1,CDS,1554350,1554784,-,SL1344_1450,marR,7.47,3.3257199999999997e-07,3.3895999999999997e-06,2.36,0.021425142,0.149056243
NC_016810.1,CDS,1648099,1648497,-,SL1344_1531,ugtL,7.45,6.37079e-12,4.59716e-10,0.38,0.723197819,0.8873560629999999
NC_016810.1,sRNA,3322951,3323039,+,ncRNA0348,STnc3890,7.42,1.31965e-08,2.34315e-07,2.0,0.035020119,0.198525817
NC_016810.1,CDS,2029188,2029406,-,SL1344_1916,SL1344_1916,7.4,7.5686e-11,3.7102600000000004e-09,4.71,3.24742e-05,0.002920945
NC_016810.1,sRNA,74891,75015,-,ncRNA0308,STnc3230,7.4,1.5177100000000002e-06,1.1781199999999998e-05,2.75,0.02005896,0.142903368
NC_016810.1,CDS,3394760,3394975,+,SL1344_3183,rpsU,7.39,1.0570899999999999e-16,1.18878e-13,4.34,8.032389999999999e-07,0.00028519200000000003
NC_016810.1,CDS,2583279,2583509,-,SL1344_2438,SL1344_2438,7.38,1.2524299999999999e-14,2.9966200000000002e-12,-0.72,0.39522037,0.679972395
NC_016810.1,sRNA,2837604,2837643,+,ncRNA0428,StyR-99,7.38,3.5930700000000003e-07,3.58116e-06,1.19,0.230665868,0.535742236
NC_016810.1,sRNA,756377,756432,-,ncRNA0095,tp28,7.37,5.72015e-07,5.2488e-06,1.53,0.142264403,0.427680778
NC_016810.1,sRNA,3099171,3100233,-,ncRNA0005,crRNA1,7.36,5.25576e-12,3.9798400000000004e-10,2.81,0.001408005,0.032417752
NC_016810.1,CDS,4077661,4078416,+,SL1344_3816,SL1344_3816,7.33,3.22714e-07,3.30774e-06,0.22,0.824541145,0.935163847
NC_016810.1,CDS,4581178,4581465,-,SL1344_4250,SL1344_4250,7.33,6.77446e-10,2.09266e-08,-0.85,0.456773462,0.724692798
NC_016810.1,sRNA,738320,738476,+,ncRNA0311,STnc3290,7.31,1.01678e-06,8.39866e-06,2.09,0.055731534000000006,0.260003406
NC_016810.1,CDS,3577682,3577978,+,SL1344_3358,fis,7.25,1.20313e-12,1.17476e-10,0.39,0.641561456,0.8451422740000001
NC_016810.1,CDS,3753715,3754824,-,SL1344_3530,livK,7.25,7.30484e-07,6.39705e-06,0.34,0.7401428409999999,0.8972153829999999
NC_016810.1,sRNA,4328157,4328305,+,ncRNA0042,IsrP,7.25,2.0693000000000003e-09,5.25776e-08,3.08,0.001231701,0.029846865
NC_016810.1,CDS,4698567,4699793,+,SL1344_4364,SL1344_4364,7.23,6.914019999999999e-07,6.096230000000001e-06,1.28,0.202128256,0.503032642
NC_016810.1,CDS,1626357,1626989,-,SL1344_1514,SL1344_1514,7.22,5.46611e-15,1.64348e-12,0.16,0.857779121,0.94598299
NC_016810.1,CDS,385057,385821,+,SL1344_0336,SL1344_0336,7.22,4.45591e-15,1.54586e-12,-0.04,0.9662420690000001,0.987140475
NC_016810.1,sRNA,3587262,3587429,-,ncRNA0353,STnc3990,7.2,9.01512e-14,1.4265999999999999e-11,1.58,0.071783286,0.30096336100000004
NC_016810.1,CDS,894722,895381,-,SL1344_0804,glnP,7.17,1.0150700000000001e-10,4.719560000000001e-09,0.13,0.8868876920000001,0.958344445
NC_016810.1,CDS,618456,618692,+,SL1344_0550A,cusA,7.17,3.6891800000000004e-10,1.32049e-08,1.86,0.045837790999999996,0.231813615
NC_016810.1,CDS,3032477,3033382,-,SL1344_2845,AvrA,7.17,1.8880599999999997e-14,3.87053e-12,2.0,0.030788122999999997,0.18579658100000002
NC_016810.1,CDS,2720902,2721630,-,SL1344_2541,recO,7.15,1.20786e-15,5.73417e-13,5.0,9.88248e-09,9.52388e-06
NC_016810.1,CDS,638504,638845,+,SL1344_0569,ramA,7.14,8.20711e-12,5.524490000000001e-10,3.31,0.0007834760000000001,0.02250258
NC_016810.1,CDS,2245622,2245903,-,SL1344_2130,SL1344_2130,7.12,1.0432e-09,2.8952900000000002e-08,1.45,0.10073570300000001,0.36252130899999996
NC_016810.1,CDS,2249729,2250187,+,SL1344_2133,yehR,7.12,6.10596e-07,5.523210000000001e-06,-0.72,0.45241864,0.72093304
NC_016810.1,CDS,1575173,1576459,-,SL1344_1472,SL1344_1472,7.11,1.0899899999999999e-06,8.897460000000001e-06,0.85,0.39980752,0.684543536
NC_016810.1,CDS,1348660,1348980,+,SL1344_1247,celA,7.1,4.0290399999999996e-10,1.3818200000000001e-08,-0.97,0.25504472300000003,0.560837791
NC_016810.1,CDS,3937262,3938059,-,SL1344_3687,rfaP,7.1,4.02481e-14,7.26075e-12,1.63,0.06560069,0.284630442
NC_016810.1,sRNA,1294946,1295057,-,ncRNA0320,STnc3430,7.08,8.396410000000002e-08,1.04752e-06,2.58,0.00755424,0.081318667
NC_016810.1,CDS,1955338,1956156,+,SL1344_1838,SL1344_1838,7.07,3.03881e-08,4.68124e-07,1.47,0.162444162,0.456603466
NC_016810.1,CDS,575491,575973,+,SL1344_0508,allA,7.05,6.802000000000001e-10,2.0939900000000002e-08,2.86,0.002253625,0.041782768
NC_016810.1,CDS,389874,390398,+,SL1344_0341,SL1344_0341,7.04,6.8266899999999995e-06,4.12436e-05,1.02,0.406742351,0.689463917
NC_016810.1,CDS,4580940,4581155,-,SL1344_4249,SL1344_4249,7.03,2.52139e-09,6.08367e-08,2.11,0.069499758,0.295043784
NC_016810.1,CDS,442093,442377,+,SL1344_0386,SL1344_0386,7.03,1.99951e-11,1.14877e-09,2.1,0.020825945,0.146642191
NC_016810.1,CDS,3837910,3839235,-,SL1344_3597,SL1344_3597,7.02,2.23694e-06,1.62719e-05,1.28,0.225017677,0.529588335
NC_016810.1,CDS,1068940,1069257,+,SL1344_0962,SL1344_0962,7.0,8.83365e-17,1.1382799999999999e-13,2.96,0.000185555,0.009178798
NC_016810.1,CDS,1789065,1789361,+,SL1344_1669,SL1344_1669,6.98,8.28825e-15,2.26627e-12,1.06,0.198483427,0.49961537200000006
NC_016810.1,CDS,1010628,1011587,+,SL1344_0909,sopD2,6.98,4.59416e-14,7.969089999999999e-12,-1.67,0.070012586,0.295639021
NC_016810.1,CDS,2511513,2511755,-,SL1344_2368,SL1344_2368,6.96,1.84774e-13,2.68816e-11,3.01,0.00042689400000000004,0.015835068
NC_016810.1,CDS,1632950,1633615,-,SL1344_1519,SL1344_1519,6.94,1.9349900000000002e-08,3.2143e-07,1.13,0.304856189,0.60291992
NC_016810.1,CDS,820557,821276,+,SL1344_0734,pnuC,6.94,3.83141e-08,5.601189999999999e-07,-0.07,0.944737465,0.980341322
NC_016810.1,CDS,773872,774078,+,SL1344_0689,ybfA,6.94,5.27664e-16,2.7997199999999996e-13,4.07,1.20133e-06,0.000368371
NC_016810.1,sRNA,898557,898793,+,ncRNA0187,STnc650,6.92,8.29123e-15,2.26627e-12,2.12,0.014511157,0.11808476
NC_016810.1,CDS,3546695,3547360,-,SL1344_3329,SL1344_3329,6.92,1.3228200000000001e-14,3.05945e-12,2.81,0.000647773,0.020045313000000002
NC_016810.1,CDS,1015267,1017027,-,SL1344_0912,SL1344_0912,6.9,4.6963900000000006e-09,9.94401e-08,1.18,0.19081964,0.491699499
NC_016810.1,CDS,4829629,4830693,-,SL1344_4482,SL1344_4482,6.89,2.96999e-10,1.13035e-08,1.84,0.060844100000000005,0.273510235
NC_016810.1,sRNA,638338,638481,+,ncRNA0406,StyR-3,6.88,2.2624499999999998e-09,5.54547e-08,3.46,0.000521338,0.017721348
NC_016810.1,CDS,1231415,1231936,+,SL1344_1127,SL1344_1127,6.88,4.45355e-17,6.695169999999999e-14,3.76,2.33013e-06,0.000507066
NC_016810.1,CDS,943926,944303,+,SL1344_0847,SL1344_0847,6.87,1.92726e-11,1.1215399999999998e-09,1.65,0.054086392000000004,0.25515160800000003
NC_016810.1,CDS,1447129,1447878,+,SL1344_1343,ssaJ,6.85,3.0125100000000003e-13,3.93809e-11,0.51,0.585450986,0.813023642
NC_016810.1,CDS,4601060,4601206,+,SL1344_4273,ecnB,6.85,1.19787e-14,2.9966200000000002e-12,1.17,0.184651769,0.485259382
NC_016810.1,CDS,4796855,4797556,-,SL1344_4453,SL1344_4453,6.84,8.26496e-07,7.13342e-06,-2.59,0.003784253,0.055316424
NC_016810.1,CDS,408034,408135,+,SL1344_0354,SL1344_0354,6.83,4.0253e-07,3.908309999999999e-06,2.06,0.12248732400000001,0.399553786
NC_016810.1,CDS,3934829,3935842,-,SL1344_3684,rfaI,6.83,2.1232399999999998e-13,2.9464e-11,-0.02,0.983553593,0.994611383
NC_016810.1,sRNA,94653,94771,-,ncRNA0167,STnc470,6.82,2.02914e-13,2.90522e-11,1.77,0.04653912599999999,0.233574018
NC_016810.1,sRNA,4601021,4601437,+,ncRNA0228,STnc1190,6.82,1.84416e-14,3.86846e-12,1.17,0.186225118,0.488201815
NC_016810.1,CDS,3844343,3845412,-,SL1344_3602,SL1344_3602,6.81,1.36259e-07,1.5696799999999999e-06,0.37,0.68964562,0.872370027
NC_016810.1,CDS,4597983,4598840,-,SL1344_4269,SL1344_4269,6.81,3.29397e-09,7.560210000000001e-08,2.02,0.031276869,0.18788402399999998
NC_016810.1,CDS,2282680,2284200,-,SL1344_2166,mglA,6.77,5.39718e-15,1.64348e-12,-0.92,0.280809705,0.586302156
NC_016810.1,CDS,1655215,1655811,-,SL1344_1538,tehB,6.77,6.12945e-12,4.45868e-10,0.66,0.450096857,0.719598947
NC_016810.1,CDS,1444377,1444811,+,SL1344_1337,sscB,6.76,5.60688e-12,4.1117099999999994e-10,-0.28,0.777578874,0.913113519
NC_016810.1,CDS,3442143,3442976,-,SL1344_3225,SL1344_3225,6.75,8.13602e-10,2.4063500000000002e-08,-0.7,0.44751240600000003,0.717626753
NC_016810.1,CDS,4132442,4133371,+,SL1344_3863,ilvE,6.75,3.48784e-10,1.27728e-08,0.91,0.36696307200000006,0.657364999
NC_016810.1,CDS,1447896,1448444,+,SL1344_1344,SL1344_1344,6.74,1.39638e-11,8.68643e-10,0.48,0.630242938,0.8390031379999999
NC_016810.1,CDS,2809791,2810699,-,SL1344_2626,SL1344_2626,6.72,2.7102499999999997e-08,4.23682e-07,3.28,0.00551642,0.068282139
NC_016810.1,CDS,1536804,1537523,+,SL1344_1431,SL1344_1431,6.71,4.1835e-13,5.05026e-11,0.82,0.32068142899999996,0.619573309
NC_016810.1,CDS,3309675,3311159,+,SL1344_3103,SL1344_3103,6.7,2.8876e-06,2.01908e-05,-0.85,0.376217453,0.665607904
NC_016810.1,CDS,1231988,1232161,+,SL1344_1128,rpl32,6.7,3.74319e-16,2.5972e-13,4.23,1.53628e-07,9.421600000000001e-05
NC_016810.1,CDS,1313040,1313834,+,SL1344_1215,SL1344_1215,6.7,1.58014e-08,2.70452e-07,1.6,0.078067389,0.314833808
NC_016810.1,CDS,691643,692215,+,SL1344_0616,pagP,6.7,2.75498e-10,1.06261e-08,1.32,0.15444290900000002,0.44686033700000005
NC_016810.1,CDS,3830256,3831554,+,SL1344_3591,yhjV,6.69,4.56002e-07,4.33876e-06,1.53,0.11402334,0.38537146899999997
NC_016810.1,CDS,3255742,3256419,+,SL1344_3050,SL1344_3050,6.69,1.1951800000000001e-05,6.59001e-05,2.59,0.024785261,0.162237739
NC_016810.1,CDS,3206685,3207383,-,SL1344_3003,SL1344_3003,6.68,6.65899e-08,8.6299e-07,1.58,0.109408378,0.37689844
NC_016810.1,CDS,3044111,3044593,+,SL1344_2857,iagB,6.68,6.90536e-13,7.41504e-11,-0.92,0.313987325,0.612715793
NC_016810.1,CDS,1297610,1298584,+,SL1344_1192,SL1344_1192,6.68,9.17701e-06,5.27575e-05,1.56,0.15640844199999998,0.448044619
NC_016810.1,CDS,4384436,4384864,+,SL1344_4088,rplK,6.67,1.69757e-16,1.53121e-13,3.76,2.44142e-06,0.0005146819999999999
NC_016810.1,CDS,1683729,1685279,+,SL1344_1567,SL1344_1567,6.67,3.27446e-08,4.94734e-07,0.77,0.45288933200000003,0.72093304
NC_016810.1,CDS,489742,491253,+,SL1344_0431,SL1344_0431,6.67,2.59178e-10,1.02986e-08,0.89,0.340343897,0.635574023
NC_016810.1,sRNA,1070213,1070327,+,ncRNA0139,STnc140,6.66,1.63612e-05,8.501040000000002e-05,1.45,0.217501568,0.5211226170000001
NC_016810.1,CDS,4551459,4551794,-,SL1344_4226,phnA,6.64,2.0434900000000001e-10,8.49412e-09,0.93,0.287787475,0.592075117
NC_017718.1,CDS,28331,28846,+,SL1344_P2_0041,ard,6.64,1.8289600000000002e-05,9.36276e-05,3.33,0.006719851999999999,0.07593320099999999
NC_016810.1,CDS,1890275,1891084,-,SL1344_1764,rrmA,6.64,3.29852e-08,4.975359999999999e-07,2.14,0.021885135,0.149885402
NC_016810.1,CDS,4708168,4709286,+,SL1344_4376,SL1344_4376,6.64,1.0681500000000001e-05,5.9805699999999996e-05,0.58,0.600930336,0.820589545
NC_016810.1,CDS,4537151,4537297,+,SL1344_4212,SL1344_4212,6.63,5.37294e-07,4.98088e-06,1.48,0.124341051,0.40193463
NC_016810.1,CDS,1956645,1957388,+,SL1344_1840,SL1344_1840,6.62,2.8556999999999996e-11,1.58027e-09,2.25,0.015389458,0.12130086300000001
NC_016810.1,CDS,2457342,2457986,-,SL1344_2317,SL1344_2317,6.6,5.48994e-12,4.06923e-10,0.75,0.396762821,0.6816865879999999
NC_016810.1,CDS,3046988,3047236,-,SL1344_2860,sipF,6.6,5.3715099999999996e-14,9.14171e-12,2.13,0.014663301,0.118726817
NC_016810.1,CDS,3424056,3425387,-,SL1344_3211,SL1344_3211,6.6,6.33312e-06,3.8597800000000005e-05,0.05,0.95988851,0.985302479
NC_016810.1,CDS,782065,782400,+,SL1344_0698,SL1344_0698,6.6,1.31077e-05,7.12678e-05,1.56,0.16213440099999998,0.456112874
NC_016810.1,CDS,2077110,2077943,+,SL1344_1973,SL1344_1973,6.59,6.84331e-06,4.1284399999999994e-05,0.2,0.844742118,0.9436380740000001
NC_016810.1,CDS,788325,790103,+,SL1344_0706,SL1344_0706,6.59,5.10008e-06,3.2328e-05,-0.51,0.5998527920000001,0.820079165
NC_016810.1,CDS,2878212,2878793,-,SL1344_2696,SL1344_2696,6.58,1.99163e-12,1.76882e-10,-0.72,0.411887457,0.6918857140000001
NC_016810.1,CDS,765750,766427,-,SL1344_0684,kdpE,6.57,1.5473900000000002e-09,4.1224199999999997e-08,3.81,0.000190685,0.009219239
NC_016810.1,CDS,3115396,3116193,-,SL1344_2929,SL1344_2929,6.56,5.294680000000001e-12,3.9798400000000004e-10,0.87,0.303190399,0.602207308
NC_016810.1,CDS,216394,216849,-,SL1344_0187,dksA,6.56,1.9603099999999998e-12,1.7682e-10,2.78,0.0027437729999999997,0.046158335
NC_016810.1,CDS,2780841,2782463,+,SL1344_2605,nadB,6.56,1.4975999999999999e-05,7.93674e-05,1.38,0.216047646,0.519777966
NC_016810.1,CDS,1136741,1136851,-,SL1344_1032,SL1344_1032,6.55,4.49388e-09,9.582700000000001e-08,-1.09,0.22612682899999997,0.5302787179999999
NC_016810.1,sRNA,693987,694033,+,ncRNA0437,StyR-126,6.55,1.24485e-07,1.44885e-06,3.44,0.0006554719999999999,0.020099141
NC_016810.1,sRNA,3260147,3260233,-,ncRNA0381,SLnc0030,6.55,4.14469e-05,0.000189388,2.11,0.10131527300000001,0.363549377
NC_017718.1,CDS,80672,81739,-,SL1344_P2_0095,pilL,6.54,3.47558e-07,3.5096300000000002e-06,0.87,0.41139619200000005,0.6918857140000001
NC_016810.1,CDS,401375,402628,+,SL1344_0351,SL1344_0351,6.54,3.4785e-07,3.5096300000000002e-06,-0.41,0.699494628,0.8786487559999999
NC_016810.1,CDS,23335,24039,+,SL1344_0020,SL1344_0020,6.54,1.61129e-05,8.396540000000001e-05,1.43,0.201821494,0.502765065
NC_016810.1,CDS,4672145,4672489,+,SL1344_4344,SL1344_4344,6.54,2.7684500000000004e-10,1.06261e-08,3.58,0.00044854300000000003,0.016181145
NC_016810.1,CDS,1611987,1613114,+,SL1344_1503,ompD,6.53,2.71147e-12,2.2438e-10,0.37,0.687373516,0.8712930740000001
NC_016810.1,CDS,4733500,4733916,+,SL1344_4400,SL1344_4400,6.53,4.8429e-16,2.7997199999999996e-13,2.86,0.00027347200000000003,0.011448517
NC_016810.1,CDS,1188744,1189064,+,SL1344_1083,SL1344_1083,6.52,4.5230099999999994e-10,1.5110200000000002e-08,0.94,0.332417685,0.6301834270000001
NC_017720.1,CDS,20311,20619,-,SL1344_P1_0018,SL1344_P1_0018,6.51,1.7629e-05,9.06059e-05,0.86,0.443380554,0.7147061440000001
NC_016810.1,CDS,2930996,2932978,-,SL1344_2752,SL1344_2752,6.5,5.04945e-15,1.62665e-12,-0.45,0.571476248,0.8061854390000001
NC_016810.1,CDS,2165334,2166335,-,SL1344_2064,rfbV,6.5,1.1107100000000001e-13,1.69807e-11,-0.64,0.445652901,0.716041748
NC_016810.1,CDS,1230337,1230561,+,SL1344_1125,SL1344_1125,6.49,4.12078e-10,1.39785e-08,2.74,0.002876836,0.047918848
NC_016810.1,CDS,944335,944598,-,SL1344_0848,grxA,6.49,1.1805e-12,1.17476e-10,1.71,0.050617590999999997,0.246314344
NC_016810.1,CDS,486266,487177,-,SL1344_0428,apbA,6.49,1.78112e-11,1.0639600000000001e-09,2.45,0.006268497,0.072909102
NC_016810.1,CDS,388268,389011,+,SL1344_0339,SL1344_0339,6.48,9.776239999999999e-14,1.52037e-11,0.45,0.574326447,0.8076727570000001
NC_016810.1,CDS,3985802,3986497,-,SL1344_3729,mgtC,6.47,1.80153e-05,9.23282e-05,0.77,0.48302512299999995,0.744704412
NC_016810.1,CDS,3087774,3088010,+,SL1344_2902,SL1344_2902,6.47,6.204399999999999e-05,0.000264854,4.88,0.000880803,0.024452241
NC_016810.1,CDS,3876954,3877952,+,SL1344_3633,SL1344_3633,6.47,1.4743499999999999e-05,7.83654e-05,0.62,0.562344511,0.8003325040000001
NC_017718.1,CDS,70653,71006,+,SL1344_P2_0083,shfC,6.46,1.5479000000000002e-05,8.11594e-05,0.57,0.592906907,0.816983283
NC_016810.1,CDS,3926630,3927562,+,SL1344_3676,rfaD,6.46,6.1754e-15,1.79684e-12,2.09,0.008816943,0.08917405699999999
NC_016810.1,CDS,586187,587335,+,SL1344_0518,glxK,6.46,2.17517e-05,0.000109243,0.98,0.38310752,0.6713697679999999
NC_016810.1,CDS,946820,947296,+,SL1344_0853,SL1344_0853,6.45,4.81573e-10,1.59698e-08,4.14,1.25745e-05,0.001437756
NC_016810.1,sRNA,3033415,3033542,-,ncRNA0182,STnc590,6.44,5.37471e-10,1.7629099999999997e-08,1.91,0.048062608,0.238054593
NC_016810.1,CDS,4580663,4580932,-,SL1344_4248,SL1344_4248,6.44,4.7940699999999996e-08,6.704259999999999e-07,0.59,0.598366359,0.819088605
NC_016810.1,CDS,2937418,2937990,+,SL1344_2757,hin,6.44,6.29495e-08,8.252979999999999e-07,-0.46,0.613777569,0.827686472
NC_016810.1,CDS,1444827,1445609,+,SL1344_1338,sseF,6.43,1.4108199999999999e-08,2.4758000000000005e-07,0.8,0.475994336,0.740045585
NC_016810.1,CDS,4700822,4701706,+,SL1344_4366,SL1344_4366,6.43,1.70317e-05,8.794260000000001e-05,0.3,0.7819998340000001,0.914592732
NC_016810.1,CDS,2229212,2230258,+,SL1344_2113,SL1344_2113,6.42,8.01284e-06,4.71159e-05,-2.45,0.013591856000000001,0.114470236
NC_016810.1,CDS,3547347,3547976,-,SL1344_3330,SL1344_3330,6.41,7.546660000000001e-10,2.26903e-08,1.32,0.17705380899999998,0.476238037
NC_016810.1,sRNA,2953269,2953441,+,ncRNA0245,STnc1490,6.41,1.19548e-11,7.593810000000001e-10,1.65,0.064559062,0.282422744
NC_016810.1,sRNA,2445310,2445474,-,ncRNA0463,StyR-262,6.41,5.22802e-13,5.96921e-11,3.84,4.665e-06,0.0007867519999999999
NC_016810.1,CDS,1131870,1132550,-,SL1344_1026,pipA,6.4,5.5038400000000005e-12,4.06923e-10,-1.34,0.122805716,0.39963693100000003
NC_016810.1,sRNA,1062745,1062806,-,ncRNA0220,STnc1080,6.39,2.45699e-12,2.0915500000000001e-10,7.29,6.44357e-15,1.44894e-11
NC_016810.1,CDS,993279,993773,+,SL1344_0897,lrp,6.39,5.03226e-15,1.62665e-12,1.37,0.086080763,0.333753583
NC_016810.1,CDS,1491858,1492298,-,SL1344_1392,SL1344_1392,6.39,9.92647e-12,6.53553e-10,1.33,0.121620015,0.398950415
NC_016810.1,sRNA,4582490,4583009,+,ncRNA0120,sRNA21,6.39,3.37287e-13,4.34618e-11,0.99,0.251612765,0.557248757
NC_016810.1,CDS,3886136,3886951,-,SL1344_3643,SL1344_3643,6.38,6.89308e-08,8.90078e-07,0.63,0.48236189,0.744114638
NC_016810.1,CDS,2863004,2863726,+,SL1344_2674,sopE,6.37,5.66248e-13,6.38445e-11,-1.12,0.203076192,0.503844058
NC_016810.1,sRNA,237091,237187,+,ncRNA0247,STnc1510,6.36,2.5096399999999997e-07,2.6445e-06,2.36,0.016485043,0.12580102099999999
NC_016810.1,CDS,1456240,1456506,+,SL1344_1354,ssaS,6.36,5.3803199999999995e-09,1.0979799999999999e-07,0.62,0.566034852,0.8026666240000001
NC_016810.1,CDS,728320,729246,-,SL1344_0654,ybeJ,6.36,3.79713e-09,8.54117e-08,-0.7,0.513784891,0.7659127290000001
NC_016810.1,CDS,3834571,3835590,-,SL1344_3595,dppB,6.35,3.2475e-06,2.2057600000000004e-05,-0.49,0.645331848,0.847791363
NC_016810.1,CDS,4258780,4259652,+,SL1344_3973,rbn,6.35,2.00022e-12,1.76882e-10,0.79,0.348433885,0.64325138
NC_016810.1,CDS,4072689,4073651,+,SL1344_3812,SL1344_3812,6.34,3.64995e-10,1.31166e-08,-1.07,0.252609538,0.558249522
NC_016810.1,CDS,3356657,3357394,-,SL1344_3147,plsC,6.34,1.42048e-11,8.775869999999999e-10,-0.78,0.35094966299999997,0.643869031
NC_016810.1,CDS,3747683,3748999,-,SL1344_3523,ugpB,6.34,4.5473100000000005e-09,9.673760000000002e-08,0.1,0.924340403,0.9741603440000001
NC_016810.1,CDS,2832135,2832740,+,SL1344_2653,SL1344_2653,6.33,9.174360000000001e-10,2.62707e-08,1.83,0.035901108,0.201320759
NC_016810.1,CDS,704482,705090,-,SL1344_0631,cobC,6.33,9.55482e-10,2.70171e-08,3.92,5.6060299999999996e-05,0.004346932
NC_016810.1,CDS,1590134,1591585,+,SL1344_1486,SL1344_1486,6.33,1.99862e-07,2.18252e-06,1.68,0.078110784,0.314833808
NC_016810.1,CDS,215429,216370,-,SL1344_0186,yadB,6.32,7.43239e-10,2.24967e-08,2.82,0.005532046,0.068350151
NC_016810.1,CDS,1655798,1656811,-,SL1344_1539,tehA,6.32,6.2258e-10,1.9498799999999997e-08,-1.03,0.23011954199999998,0.534936744
NC_016810.1,CDS,824734,825579,-,SL1344_0739,SL1344_0739,6.32,1.9791199999999997e-09,5.10048e-08,0.84,0.36001665899999996,0.652001197
NC_016810.1,CDS,4791267,4792538,-,SL1344_4447,SL1344_4447,6.32,4.80375e-09,1.0147500000000001e-07,2.92,0.004226550999999999,0.058188395
NC_016810.1,CDS,1455596,1456243,+,SL1344_1353,yscR,6.31,7.370939999999999e-10,2.23858e-08,-0.45,0.6580030729999999,0.8549477520000001
NC_016810.1,CDS,4045980,4046672,+,SL1344_3790,torR,6.31,2.4550499999999997e-10,9.81151e-09,2.65,0.003311267,0.052156169
NC_016810.1,CDS,1650258,1650488,+,SL1344_1533,SL1344_1533,6.3,7.73256e-12,5.28392e-10,2.15,0.018793344,0.138255068
